subject;predicate;object;score
Keppel Harcourt Barnard;/people/person/place_of_birth;London;5
Elizabeth Kay;/people/person/place_of_birth;London;5
Alisa Arnah;/people/person/place_of_birth;London;5
Robert Jankel;/people/person/place_of_birth;London;5
James Redhouse;/people/person/place_of_birth;London;-3
Nick Philip;/people/person/place_of_birth;London;5
Alice Temple;/people/person/place_of_birth;London;5
Peter Milligan;/people/person/place_of_birth;London;5
Justin Wintle;/people/person/place_of_birth;London;5
Benjamin Brecknell Turner;/people/person/place_of_birth;London;5
Russell Stannard;/people/person/place_of_birth;London;5
Edward Romilly;/people/person/place_of_birth;London;5
William Keasberry;/people/person/place_of_birth;London;5
Daniel Joseph Jaffé;/people/person/place_of_birth;London;5
Henry Cecil Leon;/people/person/place_of_birth;London;-5
Thomas Playfere;/people/person/place_of_birth;London;5
Aamer Haleem;/people/person/place_of_birth;London;5
Jean Ure;/people/person/place_of_birth;London;5
Judy Leden;/people/person/place_of_birth;London;-5
Scarlett Strallen;/people/person/place_of_birth;London;5
Edward Stone Parker;/people/person/place_of_birth;London;5
Brent Rickles;/people/person/place_of_birth;London;5
Adrian Baker;/people/person/place_of_birth;London;5
Coral Amiga;/people/person/place_of_birth;London;5
William Vaughan (bishop);/people/person/place_of_birth;London;5
Harry Freedman (author);/people/person/place_of_birth;London;5
Rusty Egan;/people/person/place_of_birth;London;5
Andrew Bell (minister);/people/person/place_of_birth;London;5
Jonathan Wilkins;/people/person/place_of_birth;London;5
Charles Frodsham;/people/person/place_of_birth;London;5
Frank Pearson;/people/person/place_of_birth;London;-1
William Mattieu Williams;/people/person/place_of_birth;London;5
Alan Littlejohn;/people/person/place_of_birth;London;5
Frank Sayers;/people/person/place_of_birth;London;5
Benjamin Pine;/people/person/place_of_birth;London;5
John William Mellor;/people/person/place_of_birth;London;5
Thomas Wroth (politician, 17th century);/people/person/place_of_birth;London;5
Gerard Hemsworth;/people/person/place_of_birth;London;5
Geoffrey Stevens (journalist);/people/person/place_of_birth;London;-1
Charles Hastings Doyle;/people/person/place_of_birth;London;5
Richard Corbould;/people/person/place_of_birth;London;5
Frederic Bayco;/people/person/place_of_birth;London;5
David Parry (folk musician);/people/person/place_of_birth;London;5
Mark Stone (baritone);/people/person/place_of_birth;London;5
James William Wallack;/people/person/place_of_birth;London;5
Timothy Foote;/people/person/place_of_birth;London;5
Edward Alfred Cowper;/people/person/place_of_birth;London;5
Jeremy Holmes;/people/person/place_of_birth;London;5
Deepa Kaul;/people/person/place_of_birth;London;5
Thomas E. Wilson;/people/person/place_of_birth;London;-5
Stephen Griew;/people/person/place_of_birth;London;5
Thomas Taylor (neoplatonist);/people/person/place_of_birth;London;5
Henry W. Lee;/people/person/place_of_birth;London;5
Lawrence Walford;/people/person/place_of_birth;London;5
E. W. Dickes;/people/person/place_of_birth;London;5
Toby Cockerell;/people/person/place_of_birth;London;5
Joan Vincent Murray;/people/person/place_of_birth;London;5
Neil Zakiewicz;/people/person/place_of_birth;London;5
Arthur Wakefield;/people/person/place_of_birth;London;-5
Symeon Cosburn;/people/person/place_of_birth;London;5
Alain de Cadenet;/people/person/place_of_birth;London;5
Richard West (journalist);/people/person/place_of_birth;London;5
Desi Williams;/people/person/place_of_birth;London;5
Malcolm Cecil;/people/person/place_of_birth;London;5
Harry Calvert;/people/person/place_of_birth;London;-5
Charles Ejogo;/people/person/place_of_birth;London;5
Thomas Adams (musician);/people/person/place_of_birth;London;5
Alaric Alexander Watts;/people/person/place_of_birth;London;5
Victor Henny;/people/person/place_of_birth;London;-3
Charles Dixon (ornithologist);/people/person/place_of_birth;London;5
Geoffrey Acland;/people/person/place_of_birth;London;-1
Tim Benjamin;/people/person/place_of_birth;London;5
Henry Neele;/people/person/place_of_birth;London;5
George FitzGeorge;/people/person/place_of_birth;London;5
Thomas Morton Harper;/people/person/place_of_birth;London;5
Henry Dawe;/people/person/place_of_birth;London;-5
Matthew Price;/people/person/place_of_birth;London;5
Laurie Allan;/people/person/place_of_birth;London;5
John Edwin (1749–1790);/people/person/place_of_birth;London;5
Edmund Hobhouse;/people/person/place_of_birth;London;5
Johnny Mowlem;/people/person/place_of_birth;London;5
Richard Vale;/people/person/place_of_birth;London;5
Reginald Brett, 2nd Viscount Esher;/people/person/place_of_birth;London;5
Terry Byrne;/people/person/place_of_birth;London;5
Antonia Okonma;/people/person/place_of_birth;London;5
Ursula Hoff;/people/person/place_of_birth;London;5
Mary Rose Young;/people/person/place_of_birth;London;-5
Neville Maxwell;/people/person/place_of_birth;London;5
Steven Alexander;/people/person/place_of_birth;London;5
Sebastian Dacey;/people/person/place_of_birth;London;5
George Stone (bishop);/people/person/place_of_birth;London;5
Alison Waters;/people/person/place_of_birth;London;5
Robert Bourne (developer);/people/person/place_of_birth;London;5
George Georgiou;/people/person/place_of_birth;London;5
Rhett Davies;/people/person/place_of_birth;London;5
Zoe McConnell;/people/person/place_of_birth;London;-1
David J. Farrar;/people/person/place_of_birth;London;5
William Main Page;/people/person/place_of_birth;London;5
Frank Holl;/people/person/place_of_birth;London;5
Stan Rosenthal;/people/person/place_of_birth;London;5
Christopher Hobbs;/people/person/place_of_birth;London;-5
John Howard (author);/people/person/place_of_birth;London;5
John Duncombe (writer);/people/person/place_of_birth;London;5
Keith Wiggins;/people/person/place_of_birth;London;5
Algernon Methuen;/people/person/place_of_birth;London;5
Jay Neill (actor);/people/person/place_of_birth;London;5
Michael Swanton;/people/person/place_of_birth;London;5
Peter Dowdeswell;/people/person/place_of_birth;London;5
John David Hennessey;/people/person/place_of_birth;London;5
Cliff Jones (musician);/people/person/place_of_birth;London;5
Alfred Hackman;/people/person/place_of_birth;London;-5
Malcolm Wakeford;/people/person/place_of_birth;London;-5
Robin Gillett;/people/person/place_of_birth;London;5
David Vaughan (dance archivist);/people/person/place_of_birth;London;5
William Henry Anderdon;/people/person/place_of_birth;London;5
Harry Zvi Tabor;/people/person/place_of_birth;London;5
William Byrne (engraver);/people/person/place_of_birth;London;5
Thomas Cole (minister);/people/person/place_of_birth;London;-5
Samuel Verblunsky;/people/person/place_of_birth;London;5
Janet Coster;/people/person/place_of_birth;London;5
Graham Reilly;/people/person/place_of_birth;London;3
Thalia Pellegrini;/people/person/place_of_birth;London;5
Bertie Felstead;/people/person/place_of_birth;London;5
Charles Mayo (Anglo-Saxon scholar);/people/person/place_of_birth;London;5
Abraham Aurelius;/people/person/place_of_birth;London;-3
Derrick Leon;/people/person/place_of_birth;London;5
Nick Grosso;/people/person/place_of_birth;London;5
George Russell French;/people/person/place_of_birth;London;5
Charles Kennedy Scott;/people/person/place_of_birth;London;-3
William Emery;/people/person/place_of_birth;London;5
Andrew Waterman;/people/person/place_of_birth;London;5
William Garnett (civil servant);/people/person/place_of_birth;London;5
Alice Harrison;/people/person/place_of_birth;London;5
Ethel Merston;/people/person/place_of_birth;London;5
Wally Stocker;/people/person/place_of_birth;London;5
Dmitry Grigorieff;/people/person/place_of_birth;London;5
Gilbert John Arrow;/people/person/place_of_birth;London;5
Sampson Low;/people/person/place_of_birth;London;5
Peter G. Engelman;/people/person/place_of_birth;London;5
Mark Farmer (actor);/people/person/place_of_birth;London;5
Joe Daly;/people/person/place_of_birth;London;5
Isidor Clinton Rubin;/people/person/place_of_birth;London;-3
Thomas Gerald Room;/people/person/place_of_birth;London;-5
Mehran Khaghani;/people/person/place_of_birth;London;5
Nigel Preston;/people/person/place_of_birth;London;5
Christopher Headington;/people/person/place_of_birth;London;5
John Barry (set designer);/people/person/place_of_birth;London;5
Olivia Poulet;/people/person/place_of_birth;London;5
Robert Briffault;/people/person/place_of_birth;London;1
Michael Jaffé;/people/person/place_of_birth;London;5
Stephen Atkinson (metallurgist);/people/person/place_of_birth;London;-5
Barbara C. Freeman;/people/person/place_of_birth;London;-5
Adrian Bowyer;/people/person/place_of_birth;London;5
Robb Gravett;/people/person/place_of_birth;London;5
Steve Laine;/people/person/place_of_birth;London;5
David Smith (English politician);/people/person/place_of_birth;London;5
Gordon Jennings Laing;/people/person/place_of_birth;London;-3
Tom Arnold (politician);/people/person/place_of_birth;London;5
Guy de Cointet;/people/person/place_of_birth;Paris;5
Nick Pugh;/people/person/place_of_birth;Paris;5
Renaud Gagneux;/people/person/place_of_birth;Paris;5
Jean Gallon;/people/person/place_of_birth;Paris;5
Jane Bathori;/people/person/place_of_birth;Paris;5
Marcel Alexandre Bertrand;/people/person/place_of_birth;Paris;5
Abel Dimier;/people/person/place_of_birth;Paris;5
Bernard Cassen;/people/person/place_of_birth;Paris;5
René Renoult;/people/person/place_of_birth;Paris;5
Farid Chopel;/people/person/place_of_birth;Paris;5
François Maspero;/people/person/place_of_birth;Paris;5
Thibaut de Reimpré;/people/person/place_of_birth;Paris;5
Charles Collé;/people/person/place_of_birth;Paris;5
Bertrand Lamarche;/people/person/place_of_birth;Paris;3
Louis Godin;/people/person/place_of_birth;Paris;5
Elsa Lunghini;/people/person/place_of_birth;Paris;5
Lucien Laurent Bonheur;/people/person/place_of_birth;Paris;5
François-Anne David;/people/person/place_of_birth;Paris;5
Jean Baptiste Claude Chatelain;/people/person/place_of_birth;Paris;5
Gérard Granel;/people/person/place_of_birth;Paris;5
Martin Malvy;/people/person/place_of_birth;Paris;5
Claude Piel;/people/person/place_of_birth;Paris;5
Georges Henri Roger;/people/person/place_of_birth;Paris;5
Albert Geouffre de Lapradelle;/people/person/place_of_birth;Paris;5
Claude Weisz;/people/person/place_of_birth;Paris;5
Dominique Sanson;/people/person/place_of_birth;Paris;5
Armand Toussaint;/people/person/place_of_birth;Paris;5
Hervé Alphand;/people/person/place_of_birth;Paris;5
Pierre Lecomte du Noüy;/people/person/place_of_birth;Paris;5
Alexandre Desgoffe;/people/person/place_of_birth;Paris;5
Léonce Alloy;/people/person/place_of_birth;Paris;5
Catherine Keller (artist);/people/person/place_of_birth;Paris;5
Patrick Lemarié;/people/person/place_of_birth;Paris;5
Émile Lévy;/people/person/place_of_birth;Paris;5
Pierre Cartellier;/people/person/place_of_birth;Paris;5
Yves Roucaute;/people/person/place_of_birth;Paris;5
Marianne Peretti;/people/person/place_of_birth;Paris;5
Sébastien Denis;/people/person/place_of_birth;Paris;5
Claude Duflos;/people/person/place_of_birth;Paris;5
François Lehideux;/people/person/place_of_birth;Paris;5
Ibrahim Diarra;/people/person/place_of_birth;Paris;5
Philippe Risoli;/people/person/place_of_birth;Paris;5
Ernest Breton;/people/person/place_of_birth;Paris;5
Serge Collot;/people/person/place_of_birth;Paris;5
Albert Vizentini;/people/person/place_of_birth;Paris;5
Hippolyte Cloquet;/people/person/place_of_birth;Paris;-3
Antoine Verglas;/people/person/place_of_birth;Paris;5
Cornélie Falcon;/people/person/place_of_birth;Paris;5
Hélène Carrère d'Encausse;/people/person/place_of_birth;Paris;5
Charles Cotin;/people/person/place_of_birth;Paris;5
Yvette Giraud;/people/person/place_of_birth;Paris;5
Nikos Aliagas;/people/person/place_of_birth;Paris;5
Marc Sangnier;/people/person/place_of_birth;Paris;5
Georges Hugon;/people/person/place_of_birth;Paris;5
Ernst Friedrich;/people/person/place_of_birth;Paris;5
Marie Nicolas Sylvestre Guillon;/people/person/place_of_birth;Paris;5
Constant Ferdinand Burille;/people/person/place_of_birth;Paris;3
Charles Nicholas Aubé;/people/person/place_of_birth;Paris;5
Henri de Contenson;/people/person/place_of_birth;Paris;5
Marthe Chenal;/people/person/place_of_birth;Paris;5
Jules Louis Lewal;/people/person/place_of_birth;Paris;5
Frédéric Durieux;/people/person/place_of_birth;Paris;5
Henri Nussbaumer;/people/person/place_of_birth;Paris;5
Robert Lecou;/people/person/place_of_birth;Paris;5
Alain Ehrenberg;/people/person/place_of_birth;Paris;5
Jean Noël Hallé;/people/person/place_of_birth;Paris;5
Léon Gimpel;/people/person/place_of_birth;Paris;5
David Bret;/people/person/place_of_birth;Paris;5
Jules de Gaultier;/people/person/place_of_birth;Paris;5
Louis Mazetier;/people/person/place_of_birth;Paris;5
Nicolas Colibert;/people/person/place_of_birth;Paris;5
Julien Noël Costantin;/people/person/place_of_birth;Paris;-3
Jeanne Deroin;/people/person/place_of_birth;Paris;5
Theophilus de Garencières;/people/person/place_of_birth;Paris;5
François Pourfour du Petit;/people/person/place_of_birth;Paris;-1
René Mayer;/people/person/place_of_birth;Paris;5
Françoise Claustre;/people/person/place_of_birth;Paris;5
Florent Fidèle Constant Bourgeois;/people/person/place_of_birth;Paris;5
Jean Cotelle;/people/person/place_of_birth;Paris;5
Adolphe Cohn;/people/person/place_of_birth;Paris;5
Jacques d'Agar;/people/person/place_of_birth;Paris;5
André Léri;/people/person/place_of_birth;Paris;5
Laurent Boyer;/people/person/place_of_birth;Paris;5
Gabriel Bertrand;/people/person/place_of_birth;Paris;5
Germinal Pierre Dandelin;/people/person/place_of_birth;Paris;-3
Henry Lerolle;/people/person/place_of_birth;Paris;5
Louis Dorléans;/people/person/place_of_birth;Paris;5
Paul Lacroix;/people/person/place_of_birth;Paris;5
Yannick Pouliot;/people/person/place_of_birth;Paris;5
Christelle Lefranc;/people/person/place_of_birth;Paris;1
Lola Artôt de Padilla;/people/person/place_of_birth;Paris;-5
Jacques Autreau;/people/person/place_of_birth;Paris;5
Hugues Krafft;/people/person/place_of_birth;Paris;5
Dumont de Montigny;/people/person/place_of_birth;Paris;5
Pierre Joxe;/people/person/place_of_birth;Paris;5
Mathieu Blin;/people/person/place_of_birth;Paris;5
Joseph Naudet;/people/person/place_of_birth;Paris;-3
Noël Gallon;/people/person/place_of_birth;Paris;5
Alfred Darjou;/people/person/place_of_birth;Paris;5
Michio Ihara;/people/person/place_of_birth;Paris;5
Henri Perreyve;/people/person/place_of_birth;Paris;5
Leon Athanese Gosselin;/people/person/place_of_birth;Paris;3
Eugène Brieux;/people/person/place_of_birth;Paris;5
Jan Bull;/people/person/place_of_birth;Paris;5
Morris Bear Squire;/people/person/place_of_birth;Chicago;5
Johanna Meier;/people/person/place_of_birth;Chicago;5
James Adler;/people/person/place_of_birth;Chicago;5
Wolfgang Baur;/people/person/place_of_birth;Chicago;5
Paul Willis (actor);/people/person/place_of_birth;Chicago;5
Al Cotey;/people/person/place_of_birth;Chicago;5
Arthur Yoria;/people/person/place_of_birth;Chicago;5
Thomas R. Fitzgerald;/people/person/place_of_birth;Chicago;5
Kip King;/people/person/place_of_birth;Chicago;5
Wallace Bishop;/people/person/place_of_birth;Chicago;5
Raymond Monsour Scurfield;/people/person/place_of_birth;Chicago;5
Carl R. Chindblom;/people/person/place_of_birth;Chicago;5
Mary Jayne Gold;/people/person/place_of_birth;Chicago;5
Axel Leonard Melander;/people/person/place_of_birth;Chicago;5
Dino Wells;/people/person/place_of_birth;Chicago;5
Joe Zakas;/people/person/place_of_birth;Chicago;5
Tim McGill;/people/person/place_of_birth;Chicago;5
Ron Westrum;/people/person/place_of_birth;Chicago;5
Raymond R. Schumacher;/people/person/place_of_birth;Chicago;5
Jack Petticord;/people/person/place_of_birth;Chicago;5
Robert E. Merriam;/people/person/place_of_birth;Chicago;5
Phillip Jackson (American politician);/people/person/place_of_birth;Chicago;5
David Schrader;/people/person/place_of_birth;Chicago;5
Charlene McMann;/people/person/place_of_birth;Chicago;5
Brian Bram;/people/person/place_of_birth;Chicago;5
No I.D.;/people/person/place_of_birth;Chicago;3
Ed Rossbach;/people/person/place_of_birth;Chicago;5
Stewart G. Honeck;/people/person/place_of_birth;Chicago;5
Rick Holbrook;/people/person/place_of_birth;Chicago;5
Frank Kaderabek;/people/person/place_of_birth;Chicago;5
Dean Richards (reporter);/people/person/place_of_birth;Chicago;-1
Steve Bjorklund;/people/person/place_of_birth;Chicago;5
Leslie Allen (racing driver);/people/person/place_of_birth;Chicago;5
James Burnham;/people/person/place_of_birth;Chicago;5
Ruth Fuller Sasaki;/people/person/place_of_birth;Chicago;5
Bernard Brodie (military strategist);/people/person/place_of_birth;Chicago;5
William Kraft;/people/person/place_of_birth;Chicago;5
Louis Antonelli;/people/person/place_of_birth;Chicago;5
Dennis Rea;/people/person/place_of_birth;Chicago;5
Nick Dranias;/people/person/place_of_birth;Chicago;5
Mary Lou Munts;/people/person/place_of_birth;Chicago;5
Joel Honig;/people/person/place_of_birth;Chicago;5
Daniel M. Hausman;/people/person/place_of_birth;Chicago;5
Michael Colgrass;/people/person/place_of_birth;Chicago;5
John Mann Goggin;/people/person/place_of_birth;Chicago;5
Fenton Johnson (poet);/people/person/place_of_birth;Chicago;5
Donald Kalish;/people/person/place_of_birth;Chicago;5
Lowrell Simon;/people/person/place_of_birth;Chicago;5
Jacques Benedict;/people/person/place_of_birth;Chicago;5
Steve Miller (athletics);/people/person/place_of_birth;Chicago;5
Bill Barminski;/people/person/place_of_birth;Chicago;5
Vincent A. Mahler;/people/person/place_of_birth;Chicago;3
Nathan B. Spingold;/people/person/place_of_birth;Chicago;5
Paul Conway (archivist);/people/person/place_of_birth;Chicago;5
William Francis Whitman, Jr.;/people/person/place_of_birth;Chicago;5
Wendy White (mezzo-soprano);/people/person/place_of_birth;Chicago;5
Byron Morrow;/people/person/place_of_birth;Chicago;5
Francis Davis;/people/person/place_of_birth;Philadelphia;5
Jim Boyd (actor);/people/person/place_of_birth;Philadelphia;5
Spencer Wishart;/people/person/place_of_birth;Philadelphia;5
Daniel Spielman;/people/person/place_of_birth;Philadelphia;5
Joel Myers;/people/person/place_of_birth;Philadelphia;-5
Edwin Milton Abbott;/people/person/place_of_birth;Philadelphia;5
Festus Walters;/people/person/place_of_birth;Philadelphia;1
Freddy Winnai;/people/person/place_of_birth;Philadelphia;5
Harrison Allen;/people/person/place_of_birth;Philadelphia;5
Benjamin Franklin Bache (journalist);/people/person/place_of_birth;Philadelphia;-3
Johnny Zito;/people/person/place_of_birth;Philadelphia;-3
Tom Mattera;/people/person/place_of_birth;Philadelphia;5
Jeff Chandler (boxer);/people/person/place_of_birth;Philadelphia;5
Dick Stockton;/people/person/place_of_birth;Philadelphia;5
Stanley Corrsin;/people/person/place_of_birth;Philadelphia;5
James Zug;/people/person/place_of_birth;Philadelphia;5
Richie Dent;/people/person/place_of_birth;Philadelphia;5
Andrew Repasky McElhinney;/people/person/place_of_birth;Philadelphia;5
Gloria Mann;/people/person/place_of_birth;Philadelphia;5
Tony Trov;/people/person/place_of_birth;Philadelphia;-5
Sasha Neulinger;/people/person/place_of_birth;Philadelphia;5
Bernie Lowe;/people/person/place_of_birth;Philadelphia;5
Stanley Sporkin;/people/person/place_of_birth;Philadelphia;5
Leon Bass;/people/person/place_of_birth;Philadelphia;5
Thomas Pole;/people/person/place_of_birth;Philadelphia;5
Barry Lee Myers;/people/person/place_of_birth;Philadelphia;-3
Gregory V. Palmer;/people/person/place_of_birth;Philadelphia;5
Dave Mazzoni;/people/person/place_of_birth;Philadelphia;5
Edwin E. Wagner;/people/person/place_of_birth;Philadelphia;5
Frank J. Webb;/people/person/place_of_birth;Philadelphia;5
Lawrence Townsend;/people/person/place_of_birth;Philadelphia;5
Lou Stein;/people/person/place_of_birth;Philadelphia;5
Terry Smith (radio);/people/person/place_of_birth;Philadelphia;-3
Graham Salisbury;/people/person/place_of_birth;Philadelphia;5
Henry Taylor (boxer);/people/person/place_of_birth;Philadelphia;5
Thomas Wright Rudderow;/people/person/place_of_birth;Philadelphia;5
Susan Denin;/people/person/place_of_birth;Philadelphia;5
Seymour S. Kety;/people/person/place_of_birth;Philadelphia;-3
George Brunner (composer);/people/person/place_of_birth;Philadelphia;5
Frederick Fraley;/people/person/place_of_birth;Philadelphia;5
Paul Pope;/people/person/place_of_birth;Philadelphia;5
