Entity;Score
Morris S. Miller;5
Max Ferguson (painter);5
John J. Dunnigan;5
Frederick Juengling;5
Reuel Denney;5
Thomas R. Ball;5
Vivian Liska;5
Eric Truvillion;5
Derek Milman;5
Mitchel B. Wallerstein;5
Silas Seandel;5
James A. Hamilton;5
James H. Torrens;5
Gene Calderazzo;3
Randy Klein;5
Lawrence Francis Kramer;-1
Robert Joseph Ward;3
Anna Alice Chapin;5
Otto Maass;5
John Punnett Peters;5
Anne Walker;5
David E. Mark;5
Norman Scott (bass);1
Marc Myers;5
Norwood Bowne;5
Samuel Colgate;5
Edward McGlynn;5
Herman Trunk;5
Steve Powers;5
Morgan Dix;5
Irwin Steingut;5
Melvyn Goldstein;-1
Sergio Cresto;1
David Walsh (writer);5
Paul A. Schneider;-1
Lawrence Lessing;-5
Charles McCabe;1
Judy Craig;1
Jay Irving;3
Leona Rostenberg;5
Kate Warne;1
Mike DiMeo;5
Tommy Mandel;5
Herman Rietzel;5
James Maurice;5
Samuel Isham;1
Richard Bernas;5
Josh Neufeld;5
Hannah Kahn;5
Sarah Platt Doremus;5
Robert Hoe III;5
Joe L. Brown;-3
Maarten van den Bergh;5
Barbara Probst Solomon;3
Ben Yagoda;5
David H. Frisch;5
Robert Hessen;5
Charles Bazerman;-1
Harry Borden;-1
Greg Rand;5
William Schaus;5
Frederick S. Armitage;1