;Robert Benton;Robert Redford;Warren Beatty;Richard Attenborough;James L. Brooks;Miloš Forman;Sydney Pollack;Oliver Stone;Bernardo Bertolucci;Barry Levinson;Kevin Costner;Jonathan Demme;Clint Eastwood;Robert Zemeckis;Mel Gibson;Anthony Minghella;James Cameron;Steven Spielberg;Sam Mendes;Steven Soderbergh;Ron Howard;Roman Polanski;Ang Lee;Martin Scorsese;Joel and Ethan Coen;Danny Boyle;Kathryn Bigelow;Michel Hazanavicius;Alfonso Cuarón
Kramer vs Kramer;0.15177294018604853;0.12278083835567458;0.15893997733702095;0.12492628413447153;0.1350211820269253;0.15205038171304636;0.13190301661543116;0.11849150780574799;0.14034533686678738;0.12008340495337169;0.11380583257797589;0.1509971498198453;0.16558891484423638;0.1477925121750443;0.12554699485723442;0.11270980007754497;0.1362585089122037;0.14931610501645473;0.1257953190523382;0.16648472429832606;0.13603496497161852;0.15969818201858954;0.1447064430636958;0.1495095171964625;0.15158670509179753;0.14159822568605457;0.14624891885809266;0.13083918098657954;0.1405740788068059
Ordinary People;0.15229457847026664;0.20493778581391667;0.18948761320955712;0.14040120757714733;0.15983631310938667;0.18510327870220394;0.14739239567608597;0.12175102436638433;0.17344755601238962;0.13463153292016877;0.12786289287385819;0.17797228401568452;0.1830150434439833;0.16613650767408925;0.15615120425610154;0.13192503622186041;0.15052769398985186;0.17032303308765426;0.1287589669991965;0.17464518410431235;0.13912167931747488;0.17410489914659782;0.17529378509531168;0.18551483798957835;0.1751021051142022;0.15978162109580307;0.169784324714223;0.17001293273031037;0.17829152410156027
Reds (film);0.14250110561484464;0.15515929826523556;0.33500394640232944;0.16207869464206065;0.16632231259606015;0.19513041118909277;0.15990422527621795;0.14267264880317518;0.21163658448420233;0.15482753273855843;0.14049285697767264;0.19633579548625815;0.2155249531774281;0.18024126225908968;0.16312820051264168;0.1480774645334764;0.17238420080311043;0.1934847828795246;0.16158757164727366;0.2035350167527894;0.15743365316281918;0.21410972085372557;0.18717361819931144;0.21098232155480395;0.2253611562863045;0.18003790541009518;0.2018932206744072;0.1937132934024758;0.1943911118512054
Gandhi (film);0.1045443968002143;0.1454488885437905;0.18103629182135064;0.2299753819138397;0.16956512677780713;0.1958199455233428;0.1618591992573428;0.1530299390267479;0.20510644878414502;0.14408974074459593;0.13226166583285323;0.18065349928852534;0.2081514793151621;0.19272696366530295;0.16007507608753868;0.13374076537405072;0.16778612443800658;0.20496415921887706;0.16128597888554322;0.22538129999832318;0.15649717215262934;0.20374800196871984;0.20841462549626816;0.20783198851320503;0.20688463352960293;0.20395318327032486;0.21631669585094385;0.20012885663806088;0.1957209411588196
Terms of Endearment;0.20832679770078857;0.1319224655118948;0.23347964855172454;0.1507600439647571;0.2031199369876365;0.193881223349817;0.14328209090573168;0.11594778467961478;0.1927589494371757;0.1590603800290446;0.13029762480854648;0.20002452963570458;0.1823070255228203;0.1514638297535455;0.15240560775930412;0.16407843482371315;0.1533030153135415;0.16116578286550548;0.1447355746449486;0.16374919457748088;0.13410172956718375;0.16043378074312428;0.2021277821216272;0.20528432247981915;0.1816868665612072;0.17477649478326013;0.17649837178579164;0.20936891880208136;0.21163002722998153
Amadeus (film);0.16918671676605063;0.14020227601567833;0.1978502977894383;0.1413450455641258;0.13625934565243333;0.23676178802011139;0.1406869873893272;0.12345124957249047;0.18974535450164481;0.138426726199385;0.12432357451935432;0.1852474661858248;0.17237572725413208;0.15126295865910303;0.1435015609627388;0.15543096406883491;0.14726134262603782;0.16352557242444163;0.13958602797635222;0.16951883871520312;0.13347904817858514;0.18213341614343073;0.1907995755519084;0.18654007435471828;0.1772697311093948;0.16632639882585323;0.17518542013672112;0.18669417457000445;0.1927982688560405
Out of Africa (film);0.12845680869704668;0.1978807124643284;0.1863365514716314;0.16184134136760195;0.14875495484851267;0.17595067689293464;0.2010384088239329;0.1316720526428894;0.17986379881365186;0.13486750970478956;0.1268518378185776;0.16293900631943573;0.1822934415795352;0.1682733310163945;0.14259350398396528;0.1313957537334265;0.14924621141280758;0.17961816292282226;0.1358620049660763;0.18560065717406313;0.14579002127009083;0.18121861001974393;0.16973702436613153;0.18080154004085885;0.1839025015462893;0.16985336170327522;0.18332112581321744;0.16901406343215897;0.17426830584906453
Platoon (film);0.10296493225486036;0.14591727042261649;0.18730463188179744;0.15108712359075582;0.16374280510523853;0.18530039086773453;0.1466063917848554;0.2735271906794119;0.1818489323694569;0.14446191354982713;0.13256071061042896;0.16853468846034902;0.21101964343240334;0.18780972562600282;0.15070179063488573;0.13043206215835454;0.1591908553090305;0.19318056217292828;0.15738544739997862;0.20354883699673695;0.1540504980424579;0.19612527843715238;0.1681027045392168;0.19155305955970173;0.19107540471580864;0.17614338792596473;0.19195816012884934;0.17069287050508505;0.16973349897338144
The Last Emperor;0.15042140397180817;0.1672787286981078;0.22037074690027209;0.17806933102409842;0.17791315314340928;0.21711393083043948;0.1696727819332188;0.15607403556471255;0.3187733580591463;0.16433767730562052;0.14718787152456445;0.20685545435359237;0.22550321361523434;0.19735876488249476;0.16982130300211787;0.16543912297897262;0.1835255799304622;0.21902956345432964;0.17999496491401856;0.22466725546571426;0.1698193470822938;0.21556261529534784;0.21759135413187955;0.22612552019483606;0.22679074870812602;0.20667849335523059;0.22131882486854818;0.21575571646877184;0.2240978511481309
Rain Man;0.12638539118460151;0.15534233020939742;0.19214278501537357;0.15493639600724102;0.1557090126762587;0.1914411973237193;0.17538806727385442;0.1340561718577321;0.18785535598129438;0.19268904271837337;0.1333656061844725;0.18585051811350745;0.20990989459542014;0.18789330323935063;0.16401492820891678;0.13420674801015903;0.1644207316241546;0.21995005919067864;0.1508282524544421;0.19741841483305525;0.15451322301181952;0.19009241988874873;0.1868614427287571;0.2020199219682936;0.21056334985667324;0.1711767013218058;0.18997629422485332;0.177142212260899;0.18328274922504578
Dances with Wolves;0.11165714353281156;0.13487660862835096;0.16509061721885968;0.1334630851677572;0.14501687360232252;0.17084025872649172;0.1381911373662249;0.13352099505233833;0.16400939944898896;0.12986051672218812;0.19192213535949493;0.15416389941865222;0.17962235423065964;0.16429261846425008;0.14047807036291032;0.12339469427170185;0.1436792111968911;0.1735512643580835;0.13913735870163618;0.184435009243412;0.13399211090165372;0.1758017986158409;0.16173911086555248;0.1853564061612243;0.17199350408648373;0.16042884018225037;0.17212402459533313;0.16267433542870544;0.1651406409378282
The Silence of the Lambs (film);0.1499973485928868;0.17984066857529604;0.23614457111280482;0.1886805209852264;0.19627857873467536;0.24482737503365798;0.18386589666805403;0.1690170015068867;0.23424503438234615;0.1655903851846725;0.16253976200362957;0.3225687657368391;0.24241403576260026;0.2209896677255217;0.1882875977353464;0.1698397758670529;0.2014506412799893;0.23544203753257373;0.1831120626278969;0.2486620207996367;0.20061228350243818;0.24095659912541723;0.22501136601199248;0.24501897066283856;0.2396438011355898;0.21896574995888818;0.2367115581781371;0.22863169328377178;0.23223974259953042
Unforgiven;0.1010009055135459;0.15020148431154562;0.18017625449001223;0.1538753639940383;0.15581861509617861;0.17892227911154132;0.14931488946626983;0.13899968817453218;0.18982318718517815;0.13484834735849793;0.13840176748374217;0.17172226806193214;0.29289408665232813;0.1761824310707018;0.15123038293165256;0.12987562111134032;0.157751752124809;0.19321159842899893;0.1550660814218462;0.19910820654892933;0.1485434841374705;0.18910470860155362;0.18786159391611254;0.19511472416719683;0.19060520600886763;0.17588684204574465;0.19399659114910162;0.17529324914516559;0.17686691109799496
Forrest Gump;0.12683810657614505;0.17256482234324877;0.2154595654551334;0.18471495285512002;0.1879364756884073;0.21930664264949623;0.17785584879467936;0.19383797433410996;0.220563969195722;0.16555172818258193;0.15635455002309961;0.20757504835906698;0.23700757917153442;0.29024069469455327;0.18064739767167198;0.15088572646101073;0.19001309936820493;0.23111980877197738;0.17161795967855978;0.2471422946292562;0.17577462362857732;0.22912765895160073;0.2131255923389933;0.23189170520797361;0.23597159556805736;0.21660611982625336;0.23507006159062463;0.21937401953735086;0.2173928763421647
Braveheart;0.11080544782195058;0.14476670130252206;0.18886214520641598;0.16290867017859972;0.16390261508958234;0.18786754296468788;0.14886442301290803;0.14405232396383538;0.17295461649172345;0.12987171854859092;0.13685092871613247;0.16964299807932315;0.1942578284119939;0.17859892316157597;0.26392101253956574;0.13936124340938397;0.17968532759607708;0.19195876614757848;0.14218528117075502;0.1871389746971002;0.149873429350887;0.19594780736708564;0.17264008301864708;0.18173347880026125;0.18481346650430666;0.17890262034233154;0.18046796399675963;0.1627423774011292;0.17409256338712836
The English Patient (film);0.11397682367026041;0.13859559374806218;0.17117561229359562;0.14141151872000218;0.14103840257209133;0.17151561854327727;0.14260698194427646;0.1350491221899418;0.17488185408822254;0.13291377391183357;0.1231288592602855;0.1583134095763009;0.18323881760858252;0.16997290799939763;0.14245982682773783;0.17378162205458442;0.14675491336131982;0.17715527015029964;0.1419835581386184;0.1946660050997549;0.13594245418515666;0.17513003240580705;0.17045752315256818;0.18184418342054232;0.1761376024815257;0.17293979599088843;0.17957511878561846;0.16922792531549183;0.18205580886644748
Titanic (1997 film);0.12050150771401077;0.17936839400225413;0.23614467756012847;0.20362434159857712;0.21799662412736484;0.23455097398917474;0.1860969429603598;0.20948233335533856;0.22690537977061523;0.16066795014062074;0.1676049310091011;0.20779499837540055;0.25259106184687574;0.23620540364398163;0.1955171144583809;0.1675491830356745;0.34801445567009776;0.2565803668736519;0.19240008061650077;0.25685260930019;0.18429815611590308;0.25645926492328386;0.243820208557738;0.24511964562995892;0.24209434993701023;0.225465221024661;0.25515866231796214;0.21788346500154662;0.218495466858517
Saving Private Ryan;0.117913859840838;0.18014122476377073;0.23242911850896142;0.19051130919996592;0.19951626255560984;0.23187970762221266;0.17899032758707784;0.21351460203076722;0.23005543603981876;0.17024912003110176;0.1702092347196436;0.21127097850719048;0.26099308405889243;0.24137220158541264;0.19678269881429974;0.15024623605956586;0.21040123918002498;0.35010296516022893;0.1869064130020426;0.2557687118972736;0.2082090490466874;0.2522436808794408;0.21984709430229268;0.24140872638590355;0.2567904629289252;0.22464665308674947;0.24735364226866458;0.21439847183725025;0.22441377169219912
American Beauty (1999 film);0.11391040487749785;0.16818153790440765;0.21131266383056502;0.17589985880939724;0.19470555024253142;0.2146695266125061;0.17333542194857887;0.16287431713818035;0.2103097199807725;0.1524682711193863;0.17609086305908217;0.19468346213192667;0.23014695027413382;0.2335120136064092;0.17288402097006983;0.15188300477265182;0.1825102183710731;0.25344116483072354;0.2333135180960813;0.23173136441742914;0.17683676909866414;0.22431184042645613;0.21371467805490504;0.21729087277149056;0.25128490298645306;0.1931026562745893;0.2206057109926069;0.18752207666647536;0.19481743627682896
Traffic (2000 film);0.1322949350534264;0.1692857721613073;0.21648968425160744;0.17379729406169053;0.1837260652165592;0.21114382208906324;0.17424579946230354;0.18717668117356295;0.21893990327453525;0.15717809664904536;0.15144613731387502;0.20253431731592864;0.23057853121577512;0.21313533780016297;0.1799854948375299;0.14962398501683272;0.19166613864771487;0.22993835366202292;0.16330248832032832;0.33113078586418826;0.1673861946876745;0.21993592977053847;0.20292626476746714;0.2304572946169524;0.23178325482905032;0.1992305503958769;0.21915781887794014;0.20194531849890457;0.223106868999837
A Beautiful Mind (film);0.12348871567387407;0.14917909690153514;0.19534572402151443;0.15698214874721045;0.16213200086765325;0.19369921365148657;0.1493499638549982;0.14380884316400003;0.19568708372177102;0.1372651041925918;0.15358239650393102;0.18201937165830576;0.19768685881664216;0.18333459000325888;0.15681123902837554;0.13412568876813036;0.16533775890704636;0.19392622094122197;0.15081014318235342;0.20591110612149072;0.19862232630491478;0.20056792223337502;0.183106602771575;0.19974832242024024;0.1994883518388182;0.18506673293599224;0.19379008534308678;0.18667496545662338;0.19083835905631646
The Pianist (2002 film);0.1055664240162455;0.1287145504827788;0.16037988760103972;0.1422861202597735;0.13815553206656644;0.16543614727903308;0.135663992356133;0.12625224474063695;0.16309501093673848;0.12213096832690064;0.12164779792854871;0.14974834435473738;0.1722291675431403;0.15326357404642746;0.13941325363732976;0.13323267818273027;0.140165530882203;0.17070049241774182;0.13432547032349318;0.1723193459437548;0.1349728266087918;0.24633769670255512;0.15171867610425577;0.16981026179756337;0.16063426121611338;0.15203469674781378;0.15895737573691215;0.15523611138552215;0.15287022510497586
Brokeback Mountain;0.1809569377972401;0.19062585588990713;0.26332274218121726;0.20050757138804126;0.21201122576993003;0.2620224102059052;0.2005494296242309;0.2096263261268571;0.27017005103644565;0.18337175365410932;0.17615881726144583;0.2400564591771552;0.2718286430230791;0.23777518591551516;0.2484803163094469;0.20279760759133722;0.21514441000040863;0.2531723935706115;0.19563457471479792;0.27705240293583905;0.1934777345776487;0.25787670607472135;0.344114738951422;0.2761378687893776;0.26855593836251235;0.24661169212119805;0.27280054242067875;0.2639960684170333;0.2744406184348437
The Departed;0.13230615631070292;0.14761231760163035;0.18616489052263424;0.1433853442768247;0.15454183694198467;0.1854365043989648;0.1517502530152267;0.1592789167180717;0.19148888759722554;0.14860302920605967;0.12921745769993198;0.18131358063770317;0.20005510767366047;0.17782017592202884;0.1926974591601257;0.14268687360317017;0.1603194773514003;0.1917038918551311;0.1444068626973352;0.2105242348968474;0.1678726925018224;0.18419576928558595;0.18515737815863914;0.28964386845692175;0.21108306935924548;0.18136797260472756;0.19928312274961496;0.19926155612836938;0.19322433301523678
No Country for Old Men (film);0.1260299474972914;0.16691575678959492;0.20702171254172186;0.1719272702119266;0.1906596428737492;0.2175085566089175;0.17707684843604965;0.19052606962625998;0.223724319946615;0.15695618756697377;0.15437306556857863;0.20534585663996371;0.24942021390513225;0.2202822201524333;0.18798038780072124;0.16054994938431583;0.19137556997489621;0.23322113711438242;0.16945188503646325;0.24965854228150683;0.16983028503837247;0.23556450668278126;0.23898024731768802;0.2350696197429578;0.3706132124233239;0.21171176579552442;0.2448253435924736;0.20780975717437214;0.22236664684110002
Slumdog Millionaire;0.13173180678831928;0.18030912594310147;0.22197378633958015;0.19532761884131675;0.1969670814399119;0.24043261849234482;0.18633991591343596;0.17347453929426726;0.23934908668726584;0.17232684926612601;0.16052494795532007;0.2172460740363348;0.25557285186546674;0.23192468864135302;0.19590514288110814;0.182636809239357;0.2006073977281965;0.24587970366620557;0.19814320996398682;0.2739022604032012;0.183871923370598;0.2398393389355143;0.23580342454730685;0.24469250671459436;0.2516198105696263;0.30447727225964527;0.2592107817245771;0.2483591377599997;0.24140448978395176
The Hurt Locker;0.14485819347986617;0.18910021573219551;0.24226425691493972;0.19954488537478093;0.2228536685236494;0.25188290682546977;0.19869526519915562;0.18738401830895524;0.2633625214672435;0.1834112199336957;0.16632684848051463;0.23781044798595335;0.27408269424219134;0.24750977862011941;0.20862820306669583;0.18233516865141713;0.2338063819137016;0.26566885485224756;0.2048451097112038;0.2895346663563147;0.19569913637342307;0.269109277261051;0.2499147631752634;0.26545622780581396;0.2651688707664183;0.24943807813364455;0.3602778514576053;0.259579777677934;0.26070155435004505
The Artist (film);0.16038979800362346;0.19110801826902685;0.2492725334963491;0.19466593636521792;0.20241121562250652;0.271263887660718;0.20603040553592786;0.17938883774245923;0.2788505432050155;0.19224266731627807;0.1643477880246596;0.2523076389340127;0.2744121098849492;0.2439485745973948;0.20311587230652936;0.16417344385311491;0.21954237669247967;0.2615976528330339;0.20115776153893528;0.2961394778803748;0.1986121936615362;0.26052607304992353;0.25338324387508127;0.28481280053534924;0.27324979467564675;0.2548590276751396;0.2859731802149194;0.3498746834755518;0.2630804390565042
Gravity (2013 film);0.14315599614040114;0.18211826960450755;0.2440324774165788;0.1937016952264182;0.20379942942142604;0.23945193387152303;0.1837921900958058;0.25832190561653257;0.2438723866391489;0.16665020882798295;0.1736259038504775;0.22957964378999365;0.2666314707121423;0.24083387676843532;0.1976869592745281;0.17551901329481143;0.2556824363696336;0.25129667363576813;0.20114629308494542;0.2752585521633131;0.1844661481705223;0.25971355556931747;0.2390538175990145;0.26218466698898213;0.2488149234161986;0.24194403580106444;0.257227930909123;0.2399328475666572;0.2994843859997698
