"";"Asmara";"Accra";"Kuala Lumpur";"Maputo";"Khartoum";"Harare";"Manila";"Riyadh";"Tashkent";"Hanoi";"Zagreb";"Rome";"Bucharest";"Madrid";"Bern";"Ottawa";"Port-au-Prince";"Amsterdam";"Kingstown";"Washington D.C.";"Canberra";"South Tarawa";"Wellington";"Honiara";"Port Vila";"Sucre";"Quito";"Georgetown Guyana";"Paramaribo";"Caracas"
"Canada";"Canada>Italian language>Asmara";"Canada>Nova Scotia>Accra";"Canada>Asia>Kuala Lumpur";"Canada>Foreign relations of Canada>Maputo";"Canada>Queen Victoria>Khartoum";"Canada>Second Boer War>Harare";"Canada>Asia>Manila";"Canada>Asia>Riyadh";"Canada>Asia>Tashkent";"Canada>Asia>Hanoi";"Canada>German language>Zagreb";"Canada>Harold Alexander, 1st Earl Alexander of Tunis>Rome";"Canada>Asia>Ankara>Bucharest";"Canada>Central bank>Madrid";"Canada>United Nations>Bern";"Canada>Canada-United States relations>Ottawa";"Canada>Latin America>Port-au-Prince";"Canada>Cycling>Amsterdam";"Canada>North America>Kingstown";"Canada>Alaska>Washington, D.C.";"Canada>Oceania>Canberra";"Canada>Oceania>South Tarawa";"Canada>Oceania>Wellington";"Canada>Oceania>Honiara";"Canada>Oceania>Port Vila";"Canada>Latin America>Sucre";"Canada>Latin America>Quito";"Canada>Foreign relations of Canada>Georgetown, Guyana";"Canada>Foreign relations of Canada>Paramaribo";"Canada>Latin America>Caracas"
"Haiti";"Haiti>Sub-Saharan Africa>Asmara";"Haiti>Brazil>Accra";"Haiti>Tourism>Kuala Lumpur";"Haiti>Sub-Saharan Africa>Maputo";"Haiti>Sub-Saharan Africa>Khartoum";"Haiti>Sub-Saharan Africa>Harare";"Haiti>Tourism>Manila";"Haiti>China>Asia>Riyadh";"Haiti>China>Asia>Tashkent";"Haiti>Axis powers>Hanoi";"Haiti>Europe>Zagreb";"Haiti>Christmas>Rome";"Haiti>Christmas>Bucharest";"Haiti>Europe>Madrid";"Haiti>Europe>Bern";"Haiti>Jamaica>Ottawa";"Haiti>Dominican Republic>Port-au-Prince";"Haiti>Europe>Amsterdam";"Haiti>North America>Kingstown";"Haiti>American Civil War>Washington, D.C.";"Haiti>Recycling>Canberra";"Haiti>Europe>Kiribati>South Tarawa";"Haiti>Christmas>Arbor Day>Wellington";"Haiti>Cuba>Foreign relations of Cuba>Honiara";"Haiti>French language>Foreign relations of France>Port Vila";"Haiti>Latin America>Sucre";"Haiti>Latin America>Quito";"Haiti>South America>Georgetown, Guyana";"Haiti>South America>Paramaribo";"Haiti>Latin America>Caracas"
"Kingdom of the Netherlands";"Kingdom of the Netherlands>Amsterdam>World Heritage site>Asmara";"Kingdom of the Netherlands>Amsterdam>Dutch West India Company>Accra";"Kingdom of the Netherlands>Commonwealth Games>Kuala Lumpur";"Kingdom of the Netherlands>Amsterdam>Global city>Maputo";"Kingdom of the Netherlands>Amsterdam>Koppen climate classification>Khartoum";"Kingdom of the Netherlands>Amsterdam>Global city>Harare";"Kingdom of the Netherlands>Amsterdam>KLM>Manila";"Kingdom of the Netherlands>Amsterdam>Paris>Riyadh";"Kingdom of the Netherlands>Amsterdam>Koppen climate classification>Tashkent";"Kingdom of the Netherlands>Amsterdam>Dutch East India Company>Hanoi";"Kingdom of the Netherlands>Amsterdam>Zagreb";"Kingdom of the Netherlands>Amsterdam>Rome";"Kingdom of the Netherlands>Amsterdam>Bucharest";"Kingdom of the Netherlands>Amsterdam>Madrid";"Kingdom of the Netherlands>Amsterdam>Bern";"Kingdom of the Netherlands>Parliament>Ottawa";"Kingdom of the Netherlands>Willemstad>Port-au-Prince";"Kingdom of the Netherlands>European Union>Amsterdam";"Kingdom of the Netherlands>Lesser Antilles>Kingstown";"Kingdom of the Netherlands>Devolution>Washington, D.C.";"Kingdom of the Netherlands>Parliament>Canberra";"Kingdom of the Netherlands>Cook Islands>Kiribati>South Tarawa";"Kingdom of the Netherlands>Niue>Wellington";"Kingdom of the Netherlands>Devolution>Honiara";"Kingdom of the Netherlands>Netherlands>Women's suffrage>Port Vila";"Kingdom of the Netherlands>Paramaribo>Sucre";"Kingdom of the Netherlands>Paramaribo>Quito";"Kingdom of the Netherlands>Paramaribo>Georgetown, Guyana";"Kingdom of the Netherlands>Zeeland>Paramaribo";"Kingdom of the Netherlands>Paramaribo>Caracas"
"Saint Vincent and the Grenadines";"Saint Vincent and the Grenadines>Sub-Saharan Africa>Asmara";"Saint Vincent and the Grenadines>Madeira>Accra";"Saint Vincent and the Grenadines>London>Kuala Lumpur";"Saint Vincent and the Grenadines>Sub-Saharan Africa>Maputo";"Saint Vincent and the Grenadines>Sub-Saharan Africa>Khartoum";"Saint Vincent and the Grenadines>Sub-Saharan Africa>Harare";"Saint Vincent and the Grenadines>Anglicanism>Book of Common Prayer>Manila";"Saint Vincent and the Grenadines>Catholic Church>Jerusalem>Riyadh";"Saint Vincent and the Grenadines>Catholic Church>Jerusalem>Tashkent";"Saint Vincent and the Grenadines>London>Hanoi";"Saint Vincent and the Grenadines>London>Zagreb";"Saint Vincent and the Grenadines>Anglicanism>Eastern Orthodox Church>Rome";"Saint Vincent and the Grenadines>London>Bucharest";"Saint Vincent and the Grenadines>London>Madrid";"Saint Vincent and the Grenadines>London>Bern";"Saint Vincent and the Grenadines>Methodist>Lake Ontario>Ottawa";"Saint Vincent and the Grenadines>Caribbean Community>Port-au-Prince";"Saint Vincent and the Grenadines>Baptists>Amsterdam";"Saint Vincent and the Grenadines>Kingstown";"Saint Vincent and the Grenadines>Anglicanism>American Revolution>Washington, D.C.";"Saint Vincent and the Grenadines>Netball>Canberra";"Saint Vincent and the Grenadines>Madeira>Honolulu>South Tarawa";"Saint Vincent and the Grenadines>Methodist>Capital city>Wellington";"Saint Vincent and the Grenadines>Anglicanism>Solomon Islands>Honiara";"Saint Vincent and the Grenadines>Anglicanism>Vanuatu>Port Vila";"Saint Vincent and the Grenadines>Methodist>Capital city>Sucre";"Saint Vincent and the Grenadines>Methodist>Capital city>Quito";"Saint Vincent and the Grenadines>Caribbean Community>Georgetown, Guyana";"Saint Vincent and the Grenadines>Catholic Church>Americas>Paramaribo";"Saint Vincent and the Grenadines>Venezuela>Caracas"
"United States";"United States>World Heritage site>Asmara";"United States>Chicago>Accra";"United States>Asia>Kuala Lumpur";"United States>Portugal>Maputo";"United States>Theodore Roosevelt>Khartoum";"United States>Global city>Harare";"United States>Asia>Manila";"United States>Asia>Riyadh";"United States>Asia>Tashkent";"United States>Asia>Hanoi";"United States>Europe>Zagreb";"United States>Atlanta>Rome";"United States>Atlanta>Bucharest";"United States>Apple Inc.>Madrid";"United States>Albert Einstein>Bern";"United States>Canada-United States relations>Ottawa";"United States>Louisiana>Port-au-Prince";"United States>Atlanta>Amsterdam";"United States>North America>Kingstown";"United States>Washington, D.C.";"United States>Chicago>Art>Canberra";"United States>Atlanta>Honolulu>South Tarawa";"United States>Suburb>Wellington";"United States>Tropical climate>Honiara";"United States>Women's suffrage>Port Vila";"United States>Latin America>Sucre";"United States>Latin America>Quito";"United States>Suriname>Georgetown, Guyana";"United States>Suriname>Paramaribo";"United States>Chicago>Caracas"
"Australia";"Australia>Italian language>Asmara";"Australia>Foreign relations of Australia>Accra";"Australia>Australian Capital Territory>Kuala Lumpur";"Australia>United Nations>Algiers>Maputo";"Australia>Jakarta>Ankara>Khartoum";"Australia>Foreign relations of Australia>Harare";"Australia>Abel Tasman>Manila";"Australia>Jakarta>Riyadh";"Australia>Jakarta>Tashkent";"Australia>Jakarta>Hanoi";"Australia>Foreign relations of Australia>Zagreb";"Australia>FIFA World Cup>Rome";"Australia>Foreign relations of Australia>Bucharest";"Australia>FIFA World Cup>Madrid";"Australia>FIFA World Cup>Bern";"Australia>Federalism>Ottawa";"Australia>India>Foreign relations of Brazil>Port-au-Prince";"Australia>FIFA World Cup>Amsterdam";"Australia>Australian Capital Territory>Mexico City>Kingstown";"Australia>Australian Capital Territory>Washington, D.C.";"Australia>Adelaide>Canberra";"Australia>Kiribati>South Tarawa";"Australia>Oceania>Wellington";"Australia>Oceania>Honiara";"Australia>Oceania>Port Vila";"Australia>Outback>Andes>Sucre";"Australia>Modern art>Quito";"Australia>FIFA World Cup>Brasília>Georgetown, Guyana";"Australia>India>Foreign relations of Brazil>Paramaribo";"Australia>Outback>Andes>Caracas"
"Kiribati";"Kiribati>Independence>Africa>Asmara";"Kiribati>Maldives>Accra";"Kiribati>Commonwealth Games>Kuala Lumpur";"Kiribati>Tarawa>Koppen climate classification>Maputo";"Kiribati>Tarawa>Koppen climate classification>Khartoum";"Kiribati>Tarawa>Koppen climate classification>Harare";"Kiribati>Guangzhou>Manila";"Kiribati>English language>Organisation of Islamic Cooperation>Riyadh";"Kiribati>Tarawa>Koppen climate classification>Tashkent";"Kiribati>Guangzhou>Hanoi";"Kiribati>European Union>Zagreb";"Kiribati>European Union>Rome";"Kiribati>European Union>Bucharest";"Kiribati>European Union>Madrid";"Kiribati>United Nations>Bern";"Kiribati>Line Islands>Time zone>Ottawa";"Kiribati>Tarawa>Koppen climate classification>Port-au-Prince";"Kiribati>European Union>Amsterdam";"Kiribati>English language>Caribbean>Kingstown";"Kiribati>Taiwan>Washington, D.C.";"Kiribati>Kiritimati>Honolulu>Canberra";"Kiribati>South Tarawa";"Kiribati>Kiritimati>Honolulu>Wellington";"Kiribati>Australia and New Zealand Banking Group>Honiara";"Kiribati>Vanuatu>Port Vila";"Kiribati>Republic>South America>Sucre";"Kiribati>Line Islands>Time zone>Quito";"Kiribati>Tarawa>Koppen climate classification>Georgetown, Guyana";"Kiribati>Tarawa>Koppen climate classification>Paramaribo";"Kiribati>Kiritimati>Honolulu>Caracas"
"New Zealand";"New Zealand>United Nations>Algiers>Asmara";"New Zealand>Koppen climate classification>Accra";"New Zealand>Netball>Kuala Lumpur";"New Zealand>Koppen climate classification>Maputo";"New Zealand>Koppen climate classification>Khartoum";"New Zealand>Second Boer War>Harare";"New Zealand>Abel Tasman>Manila";"New Zealand>British Empire>Asia>Riyadh";"New Zealand>Freedom House>Tashkent";"New Zealand>Koppen climate classification>Hanoi";"New Zealand>Journalism>Amsterdam>Zagreb";"New Zealand>Missionary>Arthur Schopenhauer>Rome";"New Zealand>Journalism>Amsterdam>Bucharest";"New Zealand>United Nations>Madrid";"New Zealand>International Telecommunication Union>Bern";"New Zealand>Imperial Conference>Ottawa";"New Zealand>Koppen climate classification>Port-au-Prince";"New Zealand>Journalism>Amsterdam";"New Zealand>Koppen climate classification>Guatemala City>Kingstown";"New Zealand>Blues>Washington, D.C.";"New Zealand>Arthur Phillip>Canberra";"New Zealand>Oceania>South Tarawa";"New Zealand>Niue>Wellington";"New Zealand>Oceania>Honiara";"New Zealand>New Caledonia>Port Vila";"New Zealand>Mountaineering>Andes>Sucre";"New Zealand>Koppen climate classification>Quito";"New Zealand>New Zealand national cricket team>Georgetown, Guyana";"New Zealand>Zeeland>Paramaribo";"New Zealand>Angolan Civil War>Foreign relations of Angola>Caracas"
"Solomon Islands";"Solomon Islands>World Heritage site>Asmara";"Solomon Islands>Foreign relations of Taiwan>Angola>Accra";"Solomon Islands>Foreign relations of Taiwan>Kuala Lumpur";"Solomon Islands>God Save the Queen>Rhodesia>Maputo";"Solomon Islands>Foreign relations of China>Foreign relations of Armenia>Khartoum";"Solomon Islands>God Save the Queen>Rhodesia>Harare";"Solomon Islands>Pacific Ocean>Manila";"Solomon Islands>Foreign relations of China>Foreign relations of Azerbaijan>Riyadh";"Solomon Islands>Honiara>Koppen climate classification>Tashkent";"Solomon Islands>Honiara>Koppen climate classification>Hanoi";"Solomon Islands>Foreign relations of Taiwan>Amsterdam>Zagreb";"Solomon Islands>Foreign relations of Taiwan>Amsterdam>Rome";"Solomon Islands>Foreign relations of Taiwan>Amsterdam>Bucharest";"Solomon Islands>United Nations>Madrid";"Solomon Islands>United Nations>Bern";"Solomon Islands>Foreign relations of China>Foreign relations of Azerbaijan>Ottawa";"Solomon Islands>Foreign relations of China>Port-au-Prince";"Solomon Islands>Foreign relations of Taiwan>Amsterdam";"Solomon Islands>Futsal>Guatemala City>Kingstown";"Solomon Islands>President of the United States>Washington, D.C.";"Solomon Islands>Foreign relations of China>Canberra";"Solomon Islands>Kiribati>South Tarawa";"Solomon Islands>Head of government>Wellington";"Solomon Islands>Foreign relations of Taiwan>Honiara";"Solomon Islands>Foreign relations of China>Port Vila";"Solomon Islands>Pacific Ocean>Andes>Sucre";"Solomon Islands>Viceroyalty of Peru>Quito";"Solomon Islands>Head of government>Brasília>Georgetown, Guyana";"Solomon Islands>Honiara>Koppen climate classification>Paramaribo";"Solomon Islands>United Kingdom>Robert Stephenson>Caracas"
"Vanuatu";"Vanuatu>List of countries and dependencies by area>Africa>Asmara";"Vanuatu>Port Vila>Tropical climate>Accra";"Vanuatu>Port Vila>Humidity>Kuala Lumpur";"Vanuatu>Women's rights>Maputo";"Vanuatu>republic>Ankara>Khartoum";"Vanuatu>Republic>Zimbabwe Rhodesia>Harare";"Vanuatu>Manila";"Vanuatu>Manila>Riyadh";"Vanuatu>Manila>Tashkent";"Vanuatu>Annam (French protectorate)>Hanoi";"Vanuatu>European Union>Zagreb";"Vanuatu>European Union>Rome";"Vanuatu>European Union>Bucharest";"Vanuatu>European Union>Madrid";"Vanuatu>republic>Switzerland>Bern";"Vanuatu>republic>Federalism>Ottawa";"Vanuatu>Port Vila>Tropical climate>Port-au-Prince";"Vanuatu>European Union>Amsterdam";"Vanuatu>List of countries and dependencies by area>Americas>Kingstown";"Vanuatu>European Union>Washington, D.C.";"Vanuatu>Head of government>Canberra";"Vanuatu>Port Vila>South Tarawa";"Vanuatu>New Caledonia>Wellington";"Vanuatu>Port Vila>Honiara";"Vanuatu>New Caledonia>Port Vila";"Vanuatu>Republic>South America>Sucre";"Vanuatu>Ukulele>Andes>Quito";"Vanuatu>Port Vila>Tropical climate>Georgetown, Guyana";"Vanuatu>Port Vila>Tropical climate>Paramaribo";"Vanuatu>Port Vila>Slum>Caracas"
"Bolivia";"Bolivia>United Nations>Algiers>Asmara";"Bolivia>Brazil>Accra";"Bolivia>Non-Aligned Movement>Kuala Lumpur";"Bolivia>Portugal>Maputo";"Bolivia>La Paz>Ankara>Khartoum";"Bolivia>Non-Aligned Movement>Harare";"Bolivia>Pacific Ocean>Manila";"Bolivia>Andes>Asia>Riyadh";"Bolivia>Andes>Asia>Tashkent";"Bolivia>Lima>Hanoi";"Bolivia>La Paz>Zagreb";"Bolivia>Germany>Rome";"Bolivia>Simon Bolivar>Bucharest";"Bolivia>Lebanon>Madrid";"Bolivia>United Nations>Bern";"Bolivia>Americas>Ottawa";"Bolivia>Latin America>Port-au-Prince";"Bolivia>La Paz>Ankara>Amsterdam";"Bolivia>Americas>Kingstown";"Bolivia>Laissez-faire>Washington, D.C.";"Bolivia>Christianity>Art>Canberra";"Bolivia>Andes>Kiribati>South Tarawa";"Bolivia>Colombia>Art Deco>Wellington";"Bolivia>Tropical climate>Honiara";"Bolivia>France>Foreign relations of France>Port Vila";"Bolivia>Andes>Sucre";"Bolivia>Andes>Quito";"Bolivia>South America>Georgetown, Guyana";"Bolivia>South America>Paramaribo";"Bolivia>Andes>Caracas"
"Ecuador";"Ecuador>United Nations>Algiers>Asmara";"Ecuador>Brazil>Accra";"Ecuador>Andes>Asia>Kuala Lumpur";"Ecuador>Tropical climate>Maputo";"Ecuador>Simon Bolivar>Ankara>Khartoum";"Ecuador>United Nations>Algiers>Harare";"Ecuador>Pacific Ocean>Manila";"Ecuador>Brazil national football team>Riyadh";"Ecuador>Andes>Asia>Tashkent";"Ecuador>Axis powers>Hanoi";"Ecuador>Simon Bolivar>Ankara>Zagreb";"Ecuador>Eastern Orthodox Church>Rome";"Ecuador>Synagogue>Bucharest";"Ecuador>FIFA World Cup>Madrid";"Ecuador>FIFA World Cup>Bern";"Ecuador>Simon Bolivar>Ottawa";"Ecuador>Simon Bolivar>Port-au-Prince";"Ecuador>England national football team>Amsterdam";"Ecuador>Latin American Integration Association>Mexico City>Kingstown";"Ecuador>International Monetary Fund>Washington, D.C.";"Ecuador>List of countries and dependencies by area>Ashmore and Cartier Islands>Canberra";"Ecuador>Andes>Kiribati>South Tarawa";"Ecuador>Judicial independence>Appellate court>Wellington";"Ecuador>Tropical climate>Honiara";"Ecuador>Andes>New Caledonia>Port Vila";"Ecuador>Andes>Sucre";"Ecuador>Andes>Quito";"Ecuador>South America>Georgetown, Guyana";"Ecuador>South America>Paramaribo";"Ecuador>Andes>Caracas"
"Guyana";"Guyana>Africa>Asmara";"Guyana>Brazil>Accra";"Guyana>Netball>Kuala Lumpur";"Guyana>Tropical climate>Maputo";"Guyana>Europe>Ankara>Khartoum";"Guyana>French Guiana>Koppen climate classification>Harare";"Guyana>British Empire>Asia>Manila";"Guyana>British Empire>Asia>Riyadh";"Guyana>British Empire>Asia>Tashkent";"Guyana>French Guiana>Hmong people>Hanoi";"Guyana>Europe>Zagreb";"Guyana>Europe>Rome";"Guyana>Europe>Bucharest";"Guyana>Europe>Madrid";"Guyana>Europe>Bern";"Guyana>Labour Day>Ottawa";"Guyana>Simon Bolivar>Port-au-Prince";"Guyana>Europe>Amsterdam";"Guyana>Caribbean>Kingstown";"Guyana>Christopher Columbus>Washington, D.C.";"Guyana>Netball>Canberra";"Guyana>British Empire>Kiribati>South Tarawa";"Guyana>Labour Day>Wellington";"Guyana>Tropical climate>Honiara";"Guyana>Europe>New Caledonia>Port Vila";"Guyana>South America>Sucre";"Guyana>Amazon River>Quito";"Guyana>Georgetown, Guyana";"Guyana>South America>Paramaribo";"Guyana>South America>Caracas"
"Suriname";"Suriname>World Heritage site>Asmara";"Suriname>Brazil>Accra";"Suriname>London>Kuala Lumpur";"Suriname>Tropical climate>Maputo";"Suriname>Amsterdam>Ankara>Khartoum";"Suriname>Gold>Ark of the Covenant>Harare";"Suriname>KLM>Manila";"Suriname>Islamic calendar>Riyadh";"Suriname>Biome>Asia>Tashkent";"Suriname>London>Hanoi";"Suriname>Amsterdam>Zagreb";"Suriname>Amsterdam>Rome";"Suriname>Amsterdam>Bucharest";"Suriname>Amsterdam>Madrid";"Suriname>Amsterdam>Bern";"Suriname>Labour Day>Ottawa";"Suriname>North America>Port-au-Prince";"Suriname>Bridge>Amsterdam";"Suriname>North America>Kingstown";"Suriname>Abraham Lincoln>Washington, D.C.";"Suriname>Christianity>Art>Canberra";"Suriname>Madeira>Honolulu>South Tarawa";"Suriname>Labour Day>Wellington";"Suriname>Tropical climate>Honiara";"Suriname>French language>Foreign relations of France>Port Vila";"Suriname>South America>Sucre";"Suriname>South America>Quito";"Suriname>Georgetown, Guyana";"Suriname>South America>Paramaribo";"Suriname>Nationalism>Caracas"
"Venezuela";"Venezuela>Italian language>Asmara";"Venezuela>Brazil>Accra";"Venezuela>Andes>Asia>Kuala Lumpur";"Venezuela>Slavery>Algiers>Maputo";"Venezuela>Republic>Ankara>Khartoum";"Venezuela>Slavery>Algiers>Harare";"Venezuela>Andes>Asia>Manila";"Venezuela>Andes>Asia>Riyadh";"Venezuela>Andes>Asia>Tashkent";"Venezuela>Basketball>Hanoi";"Venezuela>Republic>Ankara>Zagreb";"Venezuela>Cement>Rome";"Venezuela>Slavery>Bucharest";"Venezuela>Modernism>Madrid";"Venezuela>Basque language>Bern";"Venezuela>Parliament>Ottawa";"Venezuela>Cholera>Port-au-Prince";"Venezuela>The Hague>Amsterdam";"Venezuela>ALBA>Kingstown";"Venezuela>American Revolution>Washington, D.C.";"Venezuela>Parliament>Canberra";"Venezuela>Caracas>Honolulu>South Tarawa";"Venezuela>Television network>Wellington";"Venezuela>World War II>Darwin, Northern Territory>Honiara";"Venezuela>French Revolution>Foreign relations of France>Port Vila";"Venezuela>Andes>Sucre";"Venezuela>Andes>Quito";"Venezuela>Manatee>Georgetown, Guyana";"Venezuela>South America>Paramaribo";"Venezuela>Andes>Caracas"