"";"Robert Benton";"Robert Redford";"Warren Beatty";"Richard Attenborough";"James L. Brooks";"Miloš Forman";"Sydney Pollack";"Oliver Stone";"Bernardo Bertolucci";"Barry Levinson";"Kevin Costner";"Jonathan Demme";"Clint Eastwood";"Robert Zemeckis";"Mel Gibson";"Anthony Minghella";"James Cameron";"Steven Spielberg";"Sam Mendes";"Steven Soderbergh";"Ron Howard";"Roman Polanski";"Ang Lee";"Martin Scorsese";"Joel and Ethan Coen";"Danny Boyle";"Kathryn Bigelow";"Michel Hazanavicius";"Alfonso Cuarón"
"Kramer vs Kramer";"Kramer vs. Kramer>Francois Truffaut>Robert Benton";"Kramer vs. Kramer>Dustin Hoffman>Robert Redford";"Kramer vs. Kramer>François Truffaut>Warren Beatty";"Kramer vs. Kramer>François Truffaut>Richard Attenborough";"Kramer vs. Kramer>American Film Institute>James L. Brooks";"Kramer vs. Kramer>American Film Institute>Miloš Forman";"Kramer vs. Kramer>American Film Institute>Sydney Pollack";"Kramer vs. Kramer>François Truffaut>Oliver Stone";"Kramer vs. Kramer>François Truffaut>Bernardo Bertolucci";"Kramer vs. Kramer>American Film Institute>Barry Levinson";"Kramer vs. Kramer>Dustin Hoffman>Kevin Costner";"Kramer vs. Kramer>François Truffaut>Jonathan Demme";"Kramer vs. Kramer>American Film Institute>Clint Eastwood";"Kramer vs. Kramer>American Film Institute>Robert Zemeckis";"Kramer vs. Kramer>Dustin Hoffman>Mel Gibson";"Kramer vs. Kramer>Dustin Hoffman>Anthony Minghella";"Kramer vs. Kramer>American Film Institute>James Cameron";"Kramer vs. Kramer>American Film Institute>Steven Spielberg";"Kramer vs. Kramer>Dustin Hoffman>Sam Mendes";"Kramer vs. Kramer>François Truffaut>Steven Soderbergh";"Kramer vs. Kramer>American Film Institute>Ron Howard";"Kramer vs. Kramer>François Truffaut>Roman Polanski";"Kramer vs. Kramer>François Truffaut>Ang Lee";"Kramer vs. Kramer>American Film Institute>Martin Scorsese";"Kramer vs. Kramer>François Truffaut>Coen brothers";"Kramer vs. Kramer>François Truffaut>Danny Boyle";"Kramer vs. Kramer>François Truffaut>Kathryn Bigelow";"Kramer vs. Kramer>François Truffaut>Michel Hazanavicius";"Kramer vs. Kramer>François Truffaut>Alfonso Cuarón"
"Ordinary People";"Ordinary People>Robert Redford>Robert Benton";"Ordinary People>Mary Tyler Moore>Robert Redford";"Ordinary People>Academy Award for Best Picture>Warren Beatty";"Ordinary People>Academy Award for Best Picture>Richard Attenborough";"Ordinary People>Mary Tyler Moore>James L. Brooks";"Ordinary People>Robert Redford>Miloš Forman";"Ordinary People>Academy Award for Best Picture>Sydney Pollack";"Ordinary People>Academy Award for Best Picture>Oliver Stone";"Ordinary People>Robert Redford>Bernardo Bertolucci";"Ordinary People>Academy Award for Best Picture>Barry Levinson";"Ordinary People>Academy Award for Best Picture>Kevin Costner";"Ordinary People>Robert Redford>Jonathan Demme";"Ordinary People>Mary Tyler Moore>Clint Eastwood";"Ordinary People>Robert Redford>Robert Zemeckis";"Ordinary People>Academy Award for Best Picture>Mel Gibson";"Ordinary People>Academy Award for Best Picture>Anthony Minghella";"Ordinary People>Academy Award for Best Picture>James Cameron";"Ordinary People>Roger Ebert>Steven Spielberg";"Ordinary People>Robert Redford>Sam Mendes";"Ordinary People>Robert Redford>Steven Soderbergh";"Ordinary People>Academy Award for Best Picture>Ron Howard";"Ordinary People>Academy Award for Best Picture>Roman Polanski";"Ordinary People>Academy Award for Best Picture>Ang Lee";"Ordinary People>Roger Ebert>Martin Scorsese";"Ordinary People>Academy Award for Best Picture>Coen brothers";"Ordinary People>Academy Award for Best Picture>Danny Boyle";"Ordinary People>Academy Award for Best Picture>Kathryn Bigelow";"Ordinary People>Robert Redford>Michel Hazanavicius";"Ordinary People>Academy Award for Best Picture>Alfonso Cuarón"
"Reds (film)";"Reds (film)>Orson Welles>Robert Benton";"Reds (film)>Gene Hackman>Robert Redford";"Reds (film)>Citizen Kane>Warren Beatty";"Reds (film)>Gene Hackman>Richard Attenborough";"Reds (film)>American Film Institute>James L. Brooks";"Reds (film)>American Film Institute>Miloš Forman";"Reds (film)>American Film Institute>Sydney Pollack";"Reds (film)>Woody Allen>Oliver Stone";"Reds (film)>Woody Allen>Bernardo Bertolucci";"Reds (film)>American Film Institute>Barry Levinson";"Reds (film)>Gene Hackman>Kevin Costner";"Reds (film)>Woody Allen>Jonathan Demme";"Reds (film)>American Film Institute>Clint Eastwood";"Reds (film)>American Film Institute>Robert Zemeckis";"Reds (film)>Woody Allen>Mel Gibson";"Reds (film)>Woody Allen>Anthony Minghella";"Reds (film)>American Film Institute>James Cameron";"Reds (film)>American Film Institute>Steven Spielberg";"Reds (film)>Citizen Kane>Sam Mendes";"Reds (film)>Woody Allen>Steven Soderbergh";"Reds (film)>American Film Institute>Ron Howard";"Reds (film)>Woody Allen>Roman Polanski";"Reds (film)>Woody Allen>Ang Lee";"Reds (film)>American Film Institute>Martin Scorsese";"Reds (film)>Citizen Kane>Coen brothers";"Reds (film)>Woody Allen>Danny Boyle";"Reds (film)>Woody Allen>Kathryn Bigelow";"Reds (film)>Citizen Kane>Michel Hazanavicius";"Reds (film)>Woody Allen>Alfonso Cuarón"
"Gandhi (film)";"Gandhi (film)>Dustin Hoffman>Robert Benton";"Gandhi (film)>Warner Bros.>Robert Redford";"Gandhi (film)>Dustin Hoffman>Warren Beatty";"Gandhi (film)>Jawaharlal Nehru>Richard Attenborough";"Gandhi (film)>Academy Award for Best Picture>James L. Brooks";"Gandhi (film)>Academy Award for Best Director>Miloš Forman";"Gandhi (film)>Dustin Hoffman>Sydney Pollack";"Gandhi (film)>Lawrence of Arabia (film)>Oliver Stone";"Gandhi (film)>Academy Award for Best Director>Bernardo Bertolucci";"Gandhi (film)>Dustin Hoffman>Barry Levinson";"Gandhi (film)>Dustin Hoffman>Kevin Costner";"Gandhi (film)>Academy Award for Best Director>Jonathan Demme";"Gandhi (film)>Warner Bros.>Clint Eastwood";"Gandhi (film)>Academy Award for Best Director>Robert Zemeckis";"Gandhi (film)>Dustin Hoffman>Mel Gibson";"Gandhi (film)>Dustin Hoffman>Anthony Minghella";"Gandhi (film)>Academy Award for Best Picture>James Cameron";"Gandhi (film)>Dustin Hoffman>Steven Spielberg";"Gandhi (film)>Dustin Hoffman>Sam Mendes";"Gandhi (film)>Academy Award for Best Director>Steven Soderbergh";"Gandhi (film)>Academy Award for Best Picture>Ron Howard";"Gandhi (film)>Academy Award for Best Picture>Roman Polanski";"Gandhi (film)>Dustin Hoffman>Ang Lee";"Gandhi (film)>Dustin Hoffman>Martin Scorsese";"Gandhi (film)>Academy Award for Best Picture>Coen brothers";"Gandhi (film)>Dustin Hoffman>Danny Boyle";"Gandhi (film)>Dustin Hoffman>Kathryn Bigelow";"Gandhi (film)>Academy Award for Best Director>Michel Hazanavicius";"Gandhi (film)>Academy Award for Best Picture>Alfonso Cuarón"
"Terms of Endearment";"Terms of Endearment>Albert Brooks>Robert Benton";"Terms of Endearment>Roger Ebert>Robert Redford";"Terms of Endearment>Albert Brooks>Warren Beatty";"Terms of Endearment>Academy Award for Best Picture>Richard Attenborough";"Terms of Endearment>Albert Brooks>James L. Brooks";"Terms of Endearment>Academy Award for Best Director>Miloš Forman";"Terms of Endearment>Academy Award for Best Picture>Sydney Pollack";"Terms of Endearment>Academy Award for Best Picture>Oliver Stone";"Terms of Endearment>Academy Award for Best Adapted Screenplay>Bernardo Bertolucci";"Terms of Endearment>Academy Award for Best Picture>Barry Levinson";"Terms of Endearment>Academy Award for Best Picture>Kevin Costner";"Terms of Endearment>Academy Award for Best Director>Jonathan Demme";"Terms of Endearment>Academy Award for Best Picture>Clint Eastwood";"Terms of Endearment>Academy Award for Best Director>Robert Zemeckis";"Terms of Endearment>Academy Award for Best Picture>Mel Gibson";"Terms of Endearment>Academy Award for Best Picture>Anthony Minghella";"Terms of Endearment>Academy Award for Best Picture>James Cameron";"Terms of Endearment>Roger Ebert>Steven Spielberg";"Terms of Endearment>Academy Award for Best Director>Sam Mendes";"Terms of Endearment>Academy Award for Best Director>Steven Soderbergh";"Terms of Endearment>Academy Award for Best Picture>Ron Howard";"Terms of Endearment>Academy Award for Best Picture>Roman Polanski";"Terms of Endearment>Academy Award for Best Picture>Ang Lee";"Terms of Endearment>Albert Brooks>Martin Scorsese";"Terms of Endearment>Albert Brooks>Coen brothers";"Terms of Endearment>Academy Award for Best Picture>Danny Boyle";"Terms of Endearment>Academy Award for Best Picture>Kathryn Bigelow";"Terms of Endearment>Academy Award for Best Director>Michel Hazanavicius";"Terms of Endearment>Academy Award for Best Picture>Alfonso Cuarón"
"Amadeus (film)";"Amadeus (film)>Miloš Forman>Robert Benton";"Amadeus (film)>Twyla Tharp>Robert Redford";"Amadeus (film)>Twyla Tharp>Warren Beatty";"Amadeus (film)>Laurence Olivier>Richard Attenborough";"Amadeus (film)>American Film Institute>James L. Brooks";"Amadeus (film)>American Film Institute>Miloš Forman";"Amadeus (film)>American Film Institute>Sydney Pollack";"Amadeus (film)>Miloš Forman>Oliver Stone";"Amadeus (film)>Miloš Forman>Bernardo Bertolucci";"Amadeus (film)>American Film Institute>Barry Levinson";"Amadeus (film)>Laurence Olivier>Kevin Costner";"Amadeus (film)>Miloš Forman>Jonathan Demme";"Amadeus (film)>American Film Institute>Clint Eastwood";"Amadeus (film)>American Film Institute>Robert Zemeckis";"Amadeus (film)>Miloš Forman>Mel Gibson";"Amadeus (film)>Miloš Forman>Anthony Minghella";"Amadeus (film)>American Film Institute>James Cameron";"Amadeus (film)>American Film Institute>Steven Spielberg";"Amadeus (film)>Laurence Olivier>Sam Mendes";"Amadeus (film)>Albert Finney>Steven Soderbergh";"Amadeus (film)>American Film Institute>Ron Howard";"Amadeus (film)>Miloš Forman>Roman Polanski";"Amadeus (film)>Miloš Forman>Ang Lee";"Amadeus (film)>American Film Institute>Martin Scorsese";"Amadeus (film)>Albert Finney>Coen brothers";"Amadeus (film)>Miloš Forman>Danny Boyle";"Amadeus (film)>Miloš Forman>Kathryn Bigelow";"Amadeus (film)>Miloš Forman>Michel Hazanavicius";"Amadeus (film)>Miloš Forman>Alfonso Cuarón"
"Out of Africa (film)";"Out of Africa (film)>Academy Award for Best Adapted Screenplay>Robert Benton";"Out of Africa (film)>Klaus Maria Brandauer>Robert Redford";"Out of Africa (film)>Klaus Maria Brandauer>Warren Beatty";"Out of Africa (film)>Klaus Maria Brandauer>Richard Attenborough";"Out of Africa (film)>American Film Institute>James L. Brooks";"Out of Africa (film)>American Film Institute>Miloš Forman";"Out of Africa (film)>American Film Institute>Sydney Pollack";"Out of Africa (film)>Academy Award for Best Picture>Oliver Stone";"Out of Africa (film)>Academy Award for Best Adapted Screenplay>Bernardo Bertolucci";"Out of Africa (film)>American Film Institute>Barry Levinson";"Out of Africa (film)>Academy Award for Best Picture>Kevin Costner";"Out of Africa (film)>Robert Redford>Jonathan Demme";"Out of Africa (film)>American Film Institute>Clint Eastwood";"Out of Africa (film)>American Film Institute>Robert Zemeckis";"Out of Africa (film)>Academy Award for Best Picture>Mel Gibson";"Out of Africa (film)>Academy Award for Best Picture>Anthony Minghella";"Out of Africa (film)>American Film Institute>James Cameron";"Out of Africa (film)>American Film Institute>Steven Spielberg";"Out of Africa (film)>England>Sam Mendes";"Out of Africa (film)>Robert Redford>Steven Soderbergh";"Out of Africa (film)>American Film Institute>Ron Howard";"Out of Africa (film)>Academy Award for Best Picture>Roman Polanski";"Out of Africa (film)>Academy Award for Best Picture>Ang Lee";"Out of Africa (film)>American Film Institute>Martin Scorsese";"Out of Africa (film)>Academy Award for Best Picture>Coen brothers";"Out of Africa (film)>Academy Award for Best Picture>Danny Boyle";"Out of Africa (film)>Academy Award for Best Picture>Kathryn Bigelow";"Out of Africa (film)>Robert Redford>Michel Hazanavicius";"Out of Africa (film)>Academy Award for Best Picture>Alfonso Cuarón"
"Platoon (film)";"Platoon (film)>Academy Award for Best Director>Robert Benton";"Platoon (film)>John Wayne>Robert Redford";"Platoon (film)>John Wayne>Warren Beatty";"Platoon (film)>Academy Award for Best Picture>Richard Attenborough";"Platoon (film)>American Film Institute>James L. Brooks";"Platoon (film)>American Film Institute>Miloš Forman";"Platoon (film)>American Film Institute>Sydney Pollack";"Platoon (film)>The Doors>Oliver Stone";"Platoon (film)>Academy Award for Best Director>Bernardo Bertolucci";"Platoon (film)>American Film Institute>Barry Levinson";"Platoon (film)>John Wayne>Kevin Costner";"Platoon (film)>Academy Award for Best Director>Jonathan Demme";"Platoon (film)>American Film Institute>Clint Eastwood";"Platoon (film)>American Film Institute>Robert Zemeckis";"Platoon (film)>John Wayne>Mel Gibson";"Platoon (film)>Academy Award for Best Picture>Anthony Minghella";"Platoon (film)>American Film Institute>James Cameron";"Platoon (film)>American Film Institute>Steven Spielberg";"Platoon (film)>Academy Award for Best Director>Sam Mendes";"Platoon (film)>Academy Award for Best Director>Steven Soderbergh";"Platoon (film)>American Film Institute>Ron Howard";"Platoon (film)>Academy Award for Best Picture>Roman Polanski";"Platoon (film)>Academy Award for Best Picture>Ang Lee";"Platoon (film)>American Film Institute>Martin Scorsese";"Platoon (film)>Academy Award for Best Picture>Coen brothers";"Platoon (film)>Academy Award for Best Picture>Danny Boyle";"Platoon (film)>Academy Award for Best Picture>Kathryn Bigelow";"Platoon (film)>Academy Award for Best Director>Michel Hazanavicius";"Platoon (film)>Academy Award for Best Picture>Alfonso Cuarón"
"The Last Emperor";"The Last Emperor>Bernardo Bertolucci>Robert Benton";"The Last Emperor>Bernardo Bertolucci>Robert Redford";"The Last Emperor>Bernardo Bertolucci>Warren Beatty";"The Last Emperor>Bernardo Bertolucci>Richard Attenborough";"The Last Emperor>Bernardo Bertolucci>James L. Brooks";"The Last Emperor>Bernardo Bertolucci>Miloš Forman";"The Last Emperor>Bernardo Bertolucci>Sydney Pollack";"The Last Emperor>Ryuichi Sakamoto>Oliver Stone";"The Last Emperor>Ryuichi Sakamoto>Bernardo Bertolucci";"The Last Emperor>Bernardo Bertolucci>Barry Levinson";"The Last Emperor>Bernardo Bertolucci>Kevin Costner";"The Last Emperor>Bernardo Bertolucci>Jonathan Demme";"The Last Emperor>Ryuichi Sakamoto>Clint Eastwood";"The Last Emperor>Bernardo Bertolucci>Robert Zemeckis";"The Last Emperor>Bernardo Bertolucci>Mel Gibson";"The Last Emperor>Bernardo Bertolucci>Anthony Minghella";"The Last Emperor>Bernardo Bertolucci>James Cameron";"The Last Emperor>Bernardo Bertolucci>Steven Spielberg";"The Last Emperor>Bernardo Bertolucci>Sam Mendes";"The Last Emperor>Bernardo Bertolucci>Steven Soderbergh";"The Last Emperor>Bernardo Bertolucci>Ron Howard";"The Last Emperor>Bernardo Bertolucci>Roman Polanski";"The Last Emperor>Bernardo Bertolucci>Ang Lee";"The Last Emperor>Bernardo Bertolucci>Martin Scorsese";"The Last Emperor>Bernardo Bertolucci>Coen brothers";"The Last Emperor>Bernardo Bertolucci>Danny Boyle";"The Last Emperor>Bernardo Bertolucci>Kathryn Bigelow";"The Last Emperor>Bernardo Bertolucci>Michel Hazanavicius";"The Last Emperor>Bernardo Bertolucci>Alfonso Cuarón"
"Rain Man";"Rain Man>Steven Spielberg>Robert Benton";"Rain Man>Steven Spielberg>Robert Redford";"Rain Man>Steven Spielberg>Warren Beatty";"Rain Man>Steven Spielberg>Richard Attenborough";"Rain Man>Steven Spielberg>James L. Brooks";"Rain Man>Steven Spielberg>Miloš Forman";"Rain Man>Steven Spielberg>Sydney Pollack";"Rain Man>Steven Spielberg>Oliver Stone";"Rain Man>Steven Spielberg>Bernardo Bertolucci";"Rain Man>Steven Spielberg>Barry Levinson";"Rain Man>Steven Spielberg>Kevin Costner";"Rain Man>Steven Spielberg>Jonathan Demme";"Rain Man>Steven Spielberg>Clint Eastwood";"Rain Man>Steven Spielberg>Robert Zemeckis";"Rain Man>Steven Spielberg>Mel Gibson";"Rain Man>Steven Spielberg>Anthony Minghella";"Rain Man>Steven Spielberg>James Cameron";"Rain Man>Tom Cruise>Steven Spielberg";"Rain Man>Steven Spielberg>Sam Mendes";"Rain Man>Steven Spielberg>Steven Soderbergh";"Rain Man>Steven Spielberg>Ron Howard";"Rain Man>Steven Spielberg>Roman Polanski";"Rain Man>Steven Spielberg>Ang Lee";"Rain Man>Steven Spielberg>Martin Scorsese";"Rain Man>Steven Spielberg>Coen brothers";"Rain Man>Steven Spielberg>Danny Boyle";"Rain Man>Steven Spielberg>Kathryn Bigelow";"Rain Man>Steven Spielberg>Michel Hazanavicius";"Rain Man>Steven Spielberg>Alfonso Cuarón"
"Dances with Wolves";"Dances with Wolves>Academy Award for Best Director>Robert Benton";"Dances with Wolves>Academy Award for Best Picture>Robert Redford";"Dances with Wolves>Academy Award for Best Picture>Warren Beatty";"Dances with Wolves>Academy Award for Best Picture>Richard Attenborough";"Dances with Wolves>Academy Award for Best Picture>James L. Brooks";"Dances with Wolves>Academy Award for Best Director>Miloš Forman";"Dances with Wolves>Academy Award for Best Picture>Sydney Pollack";"Dances with Wolves>Lawrence of Arabia (film)>Oliver Stone";"Dances with Wolves>Academy Award for Best Director>Bernardo Bertolucci";"Dances with Wolves>Academy Award for Best Picture>Barry Levinson";"Dances with Wolves>Academy Award for Best Picture>Kevin Costner";"Dances with Wolves>Academy Award for Best Director>Jonathan Demme";"Dances with Wolves>Academy Award for Best Picture>Clint Eastwood";"Dances with Wolves>Academy Award for Best Director>Robert Zemeckis";"Dances with Wolves>Academy Award for Best Picture>Mel Gibson";"Dances with Wolves>Academy Award for Best Picture>Anthony Minghella";"Dances with Wolves>Academy Award for Best Picture>James Cameron";"Dances with Wolves>Lawrence of Arabia (film)>Steven Spielberg";"Dances with Wolves>Academy Award for Best Director>Sam Mendes";"Dances with Wolves>Academy Award for Best Director>Steven Soderbergh";"Dances with Wolves>Academy Award for Best Picture>Ron Howard";"Dances with Wolves>Academy Award for Best Picture>Roman Polanski";"Dances with Wolves>Academy Award for Best Picture>Ang Lee";"Dances with Wolves>Lawrence of Arabia (film)>Martin Scorsese";"Dances with Wolves>Academy Award for Best Picture>Coen brothers";"Dances with Wolves>Academy Award for Best Picture>Danny Boyle";"Dances with Wolves>Academy Award for Best Picture>Kathryn Bigelow";"Dances with Wolves>Academy Award for Best Director>Michel Hazanavicius";"Dances with Wolves>Academy Award for Best Picture>Alfonso Cuarón"
"The Silence of the Lambs (film)";"The Silence of the Lambs (film)>Jonathan Demme>Robert Benton";"The Silence of the Lambs (film)>Anthony Hopkins>Robert Redford";"The Silence of the Lambs (film)>Anthony Hopkins>Warren Beatty";"The Silence of the Lambs (film)>Anthony Hopkins>Richard Attenborough";"The Silence of the Lambs (film)>American Film Institute>James L. Brooks";"The Silence of the Lambs (film)>American Film Institute>Miloš Forman";"The Silence of the Lambs (film)>American Film Institute>Sydney Pollack";"The Silence of the Lambs (film)>Jonathan Demme>Oliver Stone";"The Silence of the Lambs (film)>Jonathan Demme>Bernardo Bertolucci";"The Silence of the Lambs (film)>American Film Institute>Barry Levinson";"The Silence of the Lambs (film)>Anthony Hopkins>Kevin Costner";"The Silence of the Lambs (film)>Jonathan Demme";"The Silence of the Lambs (film)>American Film Institute>Clint Eastwood";"The Silence of the Lambs (film)>American Film Institute>Robert Zemeckis";"The Silence of the Lambs (film)>Anthony Hopkins>Mel Gibson";"The Silence of the Lambs (film)>Anthony Hopkins>Anthony Minghella";"The Silence of the Lambs (film)>American Film Institute>James Cameron";"The Silence of the Lambs (film)>American Film Institute>Steven Spielberg";"The Silence of the Lambs (film)>Anthony Hopkins>Sam Mendes";"The Silence of the Lambs (film)>Jonathan Demme>Steven Soderbergh";"The Silence of the Lambs (film)>American Film Institute>Ron Howard";"The Silence of the Lambs (film)>Horror film>Roman Polanski";"The Silence of the Lambs (film)>Anthony Hopkins>Ang Lee";"The Silence of the Lambs (film)>American Film Institute>Martin Scorsese";"The Silence of the Lambs (film)>Jonathan Demme>Coen brothers";"The Silence of the Lambs (film)>Anthony Hopkins>Danny Boyle";"The Silence of the Lambs (film)>Anthony Hopkins>Kathryn Bigelow";"The Silence of the Lambs (film)>Jonathan Demme>Michel Hazanavicius";"The Silence of the Lambs (film)>Jonathan Demme>Alfonso Cuarón"
"Unforgiven";"Unforgiven>Clint Eastwood>Robert Benton";"Unforgiven>Gene Hackman>Robert Redford";"Unforgiven>Gene Hackman>Warren Beatty";"Unforgiven>Gene Hackman>Richard Attenborough";"Unforgiven>American Film Institute>James L. Brooks";"Unforgiven>American Film Institute>Miloš Forman";"Unforgiven>American Film Institute>Sydney Pollack";"Unforgiven>Al Pacino>Oliver Stone";"Unforgiven>Sergio Leone>Bernardo Bertolucci";"Unforgiven>American Film Institute>Barry Levinson";"Unforgiven>Gene Hackman>Kevin Costner";"Unforgiven>Clint Eastwood>Jonathan Demme";"Unforgiven>American Film Institute>Clint Eastwood";"Unforgiven>American Film Institute>Robert Zemeckis";"Unforgiven>Clint Eastwood>Mel Gibson";"Unforgiven>Clint Eastwood>Anthony Minghella";"Unforgiven>American Film Institute>James Cameron";"Unforgiven>American Film Institute>Steven Spielberg";"Unforgiven>Clint Eastwood>Sam Mendes";"Unforgiven>Al Pacino>Steven Soderbergh";"Unforgiven>American Film Institute>Ron Howard";"Unforgiven>Clint Eastwood>Roman Polanski";"Unforgiven>Clint Eastwood>Ang Lee";"Unforgiven>American Film Institute>Martin Scorsese";"Unforgiven>Clint Eastwood>Coen brothers";"Unforgiven>Clint Eastwood>Danny Boyle";"Unforgiven>Clint Eastwood>Kathryn Bigelow";"Unforgiven>Clint Eastwood>Michel Hazanavicius";"Unforgiven>Clint Eastwood>Alfonso Cuarón"
"Forrest Gump";"Forrest Gump>Terry Gilliam>Robert Benton";"Forrest Gump>Tom Hanks>Robert Redford";"Forrest Gump>Terry Gilliam>Warren Beatty";"Forrest Gump>Terry Gilliam>Richard Attenborough";"Forrest Gump>American Film Institute>James L. Brooks";"Forrest Gump>American Film Institute>Miloš Forman";"Forrest Gump>American Film Institute>Sydney Pollack";"Forrest Gump>The Doors>Oliver Stone";"Forrest Gump>Academy Award for Best Adapted Screenplay>Bernardo Bertolucci";"Forrest Gump>American Film Institute>Barry Levinson";"Forrest Gump>Tom Hanks>Kevin Costner";"Forrest Gump>Academy Award for Best Director>Jonathan Demme";"Forrest Gump>American Film Institute>Clint Eastwood";"Forrest Gump>American Film Institute>Robert Zemeckis";"Forrest Gump>Terry Gilliam>Mel Gibson";"Forrest Gump>Tom Hanks>Anthony Minghella";"Forrest Gump>American Film Institute>James Cameron";"Forrest Gump>American Film Institute>Steven Spielberg";"Forrest Gump>Terry Gilliam>Sam Mendes";"Forrest Gump>Terry Gilliam>Steven Soderbergh";"Forrest Gump>American Film Institute>Ron Howard";"Forrest Gump>Terry Gilliam>Roman Polanski";"Forrest Gump>Terry Gilliam>Ang Lee";"Forrest Gump>American Film Institute>Martin Scorsese";"Forrest Gump>Tom Hanks>Coen brothers";"Forrest Gump>Terry Gilliam>Danny Boyle";"Forrest Gump>Terry Gilliam>Kathryn Bigelow";"Forrest Gump>Academy Award for Best Director>Michel Hazanavicius";"Forrest Gump>Terry Gilliam>Alfonso Cuarón"
