"";"Robert Benton";"Robert Redford";"Warren Beatty";"Richard Attenborough";"James L. Brooks";"Miloš Forman";"Sydney Pollack";"Oliver Stone";"Bernardo Bertolucci";"Barry Levinson";"Kevin Costner";"Jonathan Demme";"Clint Eastwood";"Robert Zemeckis";"Mel Gibson";"Anthony Minghella";"James Cameron";"Steven Spielberg";"Sam Mendes";"Steven Soderbergh";"Ron Howard";"Roman Polanski";"Ang Lee";"Martin Scorsese";"Joel and Ethan Coen";"Danny Boyle";"Kathryn Bigelow";"Michel Hazanavicius";"Alfonso Cuarón"
"Braveheart";"Braveheart>Mel Gibson>Robert Benton";"Braveheart>Warner Bros.>Robert Redford";"Braveheart>Mel Gibson>Warren Beatty";"Braveheart>War film>Richard Attenborough";"Braveheart>American Film Institute>James L. Brooks";"Braveheart>American Film Institute>Miloš Forman";"Braveheart>American Film Institute>Sydney Pollack";"Braveheart>War film>Oliver Stone";"Braveheart>Mel Gibson>Bernardo Bertolucci";"Braveheart>American Film Institute>Barry Levinson";"Braveheart>Mel Gibson>Kevin Costner";"Braveheart>Mel Gibson>Jonathan Demme";"Braveheart>American Film Institute>Clint Eastwood";"Braveheart>American Film Institute>Robert Zemeckis";"Braveheart>Mel Gibson";"Braveheart>Mel Gibson>Anthony Minghella";"Braveheart>American Film Institute>James Cameron";"Braveheart>American Film Institute>Steven Spielberg";"Braveheart>England>Sam Mendes";"Braveheart>Mel Gibson>Steven Soderbergh";"Braveheart>American Film Institute>Ron Howard";"Braveheart>Mel Gibson>Roman Polanski";"Braveheart>Mel Gibson>Ang Lee";"Braveheart>American Film Institute>Martin Scorsese";"Braveheart>Mel Gibson>Coen brothers";"Braveheart>Mel Gibson>Danny Boyle";"Braveheart>Mel Gibson>Kathryn Bigelow";"Braveheart>Mel Gibson>Michel Hazanavicius";"Braveheart>Mel Gibson>Alfonso Cuarón"
"The English Patient (film)";"The English Patient (film)>Academy Award for Best Adapted Screenplay>Robert Benton";"The English Patient (film)>Roger Ebert>Robert Redford";"The English Patient (film)>Andrew Lloyd Webber>Warren Beatty";"The English Patient (film)>War film>Richard Attenborough";"The English Patient (film)>American Film Institute>James L. Brooks";"The English Patient (film)>American Film Institute>Miloš Forman";"The English Patient (film)>American Film Institute>Sydney Pollack";"The English Patient (film)>War film>Oliver Stone";"The English Patient (film)>Academy Award for Best Adapted Screenplay>Bernardo Bertolucci";"The English Patient (film)>American Film Institute>Barry Levinson";"The English Patient (film)>Academy Award for Best Picture>Kevin Costner";"The English Patient (film)>Academy Award for Best Director>Jonathan Demme";"The English Patient (film)>American Film Institute>Clint Eastwood";"The English Patient (film)>American Film Institute>Robert Zemeckis";"The English Patient (film)>Academy Award for Best Picture>Mel Gibson";"The English Patient (film)>The English Patient>Anthony Minghella";"The English Patient (film)>American Film Institute>James Cameron";"The English Patient (film)>American Film Institute>Steven Spielberg";"The English Patient (film)>Andrew Lloyd Webber>Sam Mendes";"The English Patient (film)>Academy Award for Best Director>Steven Soderbergh";"The English Patient (film)>American Film Institute>Ron Howard";"The English Patient (film)>Academy Award for Best Picture>Roman Polanski";"The English Patient (film)>Academy Award for Best Picture>Ang Lee";"The English Patient (film)>American Film Institute>Martin Scorsese";"The English Patient (film)>Academy Award for Best Picture>Coen brothers";"The English Patient (film)>Academy Award for Best Picture>Danny Boyle";"The English Patient (film)>Academy Award for Best Picture>Kathryn Bigelow";"The English Patient (film)>Academy Award for Best Director>Michel Hazanavicius";"The English Patient (film)>Academy Award for Best Picture>Alfonso Cuarón"
"Titanic (1997 film)";"Titanic (1997 film)>James Cameron>Robert Benton";"Titanic (1997 film)>James Cameron>Robert Redford";"Titanic (1997 film)>James Cameron>Warren Beatty";"Titanic (1997 film)>James Cameron>Richard Attenborough";"Titanic (1997 film)>American Film Institute>James L. Brooks";"Titanic (1997 film)>American Film Institute>Miloš Forman";"Titanic (1997 film)>American Film Institute>Sydney Pollack";"Titanic (1997 film)>James Cameron>Oliver Stone";"Titanic (1997 film)>James Cameron>Bernardo Bertolucci";"Titanic (1997 film)>American Film Institute>Barry Levinson";"Titanic (1997 film)>James Cameron>Kevin Costner";"Titanic (1997 film)>James Cameron>Jonathan Demme";"Titanic (1997 film)>American Film Institute>Clint Eastwood";"Titanic (1997 film)>American Film Institute>Robert Zemeckis";"Titanic (1997 film)>James Cameron>Mel Gibson";"Titanic (1997 film)>James Cameron>Anthony Minghella";"Titanic (1997 film)>American Film Institute>James Cameron";"Titanic (1997 film)>American Film Institute>Steven Spielberg";"Titanic (1997 film)>James Cameron>Sam Mendes";"Titanic (1997 film)>James Cameron>Steven Soderbergh";"Titanic (1997 film)>American Film Institute>Ron Howard";"Titanic (1997 film)>James Cameron>Roman Polanski";"Titanic (1997 film)>James Cameron>Ang Lee";"Titanic (1997 film)>American Film Institute>Martin Scorsese";"Titanic (1997 film)>James Cameron>Coen brothers";"Titanic (1997 film)>Bollywood>Danny Boyle";"Titanic (1997 film)>James Cameron>Kathryn Bigelow";"Titanic (1997 film)>James Cameron>Michel Hazanavicius";"Titanic (1997 film)>James Cameron>Alfonso Cuarón"
"Saving Private Ryan";"Saving Private Ryan>Quentin Tarantino>Robert Benton";"Saving Private Ryan>Steven Spielberg>Robert Redford";"Saving Private Ryan>Quentin Tarantino>Warren Beatty";"Saving Private Ryan>Royal Navy>Richard Attenborough";"Saving Private Ryan>American Film Institute>James L. Brooks";"Saving Private Ryan>American Film Institute>Miloš Forman";"Saving Private Ryan>American Film Institute>Sydney Pollack";"Saving Private Ryan>Quentin Tarantino>Oliver Stone";"Saving Private Ryan>Quentin Tarantino>Bernardo Bertolucci";"Saving Private Ryan>American Film Institute>Barry Levinson";"Saving Private Ryan>Quentin Tarantino>Kevin Costner";"Saving Private Ryan>Quentin Tarantino>Jonathan Demme";"Saving Private Ryan>American Film Institute>Clint Eastwood";"Saving Private Ryan>American Film Institute>Robert Zemeckis";"Saving Private Ryan>Quentin Tarantino>Mel Gibson";"Saving Private Ryan>Quentin Tarantino>Anthony Minghella";"Saving Private Ryan>American Film Institute>James Cameron";"Saving Private Ryan>American Film Institute>Steven Spielberg";"Saving Private Ryan>Quentin Tarantino>Sam Mendes";"Saving Private Ryan>Generation X>Steven Soderbergh";"Saving Private Ryan>American Film Institute>Ron Howard";"Saving Private Ryan>Quentin Tarantino>Roman Polanski";"Saving Private Ryan>Quentin Tarantino>Ang Lee";"Saving Private Ryan>American Film Institute>Martin Scorsese";"Saving Private Ryan>Quentin Tarantino>Coen brothers";"Saving Private Ryan>Quentin Tarantino>Danny Boyle";"Saving Private Ryan>Quentin Tarantino>Kathryn Bigelow";"Saving Private Ryan>Quentin Tarantino>Michel Hazanavicius";"Saving Private Ryan>Quentin Tarantino>Alfonso Cuarón"
"American Beauty (1999 film)";"American Beauty (1999 film)>Coen brothers>Robert Benton";"American Beauty (1999 film)>Anthony Hopkins>Robert Redford";"American Beauty (1999 film)>Anthony Hopkins>Warren Beatty";"American Beauty (1999 film)>Anthony Hopkins>Richard Attenborough";"American Beauty (1999 film)>Coen brothers>James L. Brooks";"American Beauty (1999 film)>Coen brothers>Miloš Forman";"American Beauty (1999 film)>Coen brothers>Sydney Pollack";"American Beauty (1999 film)>Coen brothers>Oliver Stone";"American Beauty (1999 film)>Coen brothers>Bernardo Bertolucci";"American Beauty (1999 film)>Coen brothers>Barry Levinson";"American Beauty (1999 film)>Anthony Hopkins>Kevin Costner";"American Beauty (1999 film)>Coen brothers>Jonathan Demme";"American Beauty (1999 film)>Anthony Hopkins>Clint Eastwood";"American Beauty (1999 film)>Coen brothers>Robert Zemeckis";"American Beauty (1999 film)>Anthony Hopkins>Mel Gibson";"American Beauty (1999 film)>Anthony Hopkins>Anthony Minghella";"American Beauty (1999 film)>Coen brothers>James Cameron";"American Beauty (1999 film)>Anthony Hopkins>Steven Spielberg";"American Beauty (1999 film)>Anthony Hopkins>Sam Mendes";"American Beauty (1999 film)>Coen brothers>Steven Soderbergh";"American Beauty (1999 film)>Coen brothers>Ron Howard";"American Beauty (1999 film)>Coen brothers>Roman Polanski";"American Beauty (1999 film)>Anthony Hopkins>Ang Lee";"American Beauty (1999 film)>Anthony Hopkins>Martin Scorsese";"American Beauty (1999 film)>Coen brothers";"American Beauty (1999 film)>Anthony Hopkins>Danny Boyle";"American Beauty (1999 film)>Anthony Hopkins>Kathryn Bigelow";"American Beauty (1999 film)>Coen brothers>Michel Hazanavicius";"American Beauty (1999 film)>Coen brothers>Alfonso Cuarón"
"Traffic (2000 film)";"Traffic (2000 film)>Ingmar Bergman>Robert Benton";"Traffic (2000 film)>Steven Soderbergh>Robert Redford";"Traffic (2000 film)>Ingmar Bergman>Warren Beatty";"Traffic (2000 film)>Ingmar Bergman>Richard Attenborough";"Traffic (2000 film)>Ingmar Bergman>James L. Brooks";"Traffic (2000 film)>Steven Soderbergh>Miloš Forman";"Traffic (2000 film)>Ingmar Bergman>Sydney Pollack";"Traffic (2000 film)>Steven Soderbergh>Oliver Stone";"Traffic (2000 film)>Ingmar Bergman>Bernardo Bertolucci";"Traffic (2000 film)>Steven Soderbergh>Barry Levinson";"Traffic (2000 film)>Steven Soderbergh>Kevin Costner";"Traffic (2000 film)>Ingmar Bergman>Jonathan Demme";"Traffic (2000 film)>Ingmar Bergman>Clint Eastwood";"Traffic (2000 film)>Steven Soderbergh>Robert Zemeckis";"Traffic (2000 film)>Steven Soderbergh>Mel Gibson";"Traffic (2000 film)>Steven Soderbergh>Anthony Minghella";"Traffic (2000 film)>Steven Soderbergh>James Cameron";"Traffic (2000 film)>Channel 4>Steven Spielberg";"Traffic (2000 film)>Steven Soderbergh>Sam Mendes";"Traffic (2000 film)>Ingmar Bergman>Steven Soderbergh";"Traffic (2000 film)>Steven Soderbergh>Ron Howard";"Traffic (2000 film)>Ingmar Bergman>Roman Polanski";"Traffic (2000 film)>Ingmar Bergman>Ang Lee";"Traffic (2000 film)>Ingmar Bergman>Martin Scorsese";"Traffic (2000 film)>Ingmar Bergman>Coen brothers";"Traffic (2000 film)>Steven Soderbergh>Danny Boyle";"Traffic (2000 film)>Ingmar Bergman>Kathryn Bigelow";"Traffic (2000 film)>Ingmar Bergman>Michel Hazanavicius";"Traffic (2000 film)>Steven Soderbergh>Alfonso Cuarón"
"A Beautiful Mind (film)";"A Beautiful Mind (film)>Ron Howard>Robert Benton";"A Beautiful Mind (film)>Russell Crowe>Robert Redford";"A Beautiful Mind (film)>Russell Crowe>Warren Beatty";"A Beautiful Mind (film)>Russell Crowe>Richard Attenborough";"A Beautiful Mind (film)>American Film Institute>James L. Brooks";"A Beautiful Mind (film)>American Film Institute>Miloš Forman";"A Beautiful Mind (film)>American Film Institute>Sydney Pollack";"A Beautiful Mind (film)>Ron Howard>Oliver Stone";"A Beautiful Mind (film)>Ron Howard>Bernardo Bertolucci";"A Beautiful Mind (film)>American Film Institute>Barry Levinson";"A Beautiful Mind (film)>Tom Cruise>Kevin Costner";"A Beautiful Mind (film)>Ron Howard>Jonathan Demme";"A Beautiful Mind (film)>American Film Institute>Clint Eastwood";"A Beautiful Mind (film)>American Film Institute>Robert Zemeckis";"A Beautiful Mind (film)>Russell Crowe>Mel Gibson";"A Beautiful Mind (film)>Tom Cruise>Anthony Minghella";"A Beautiful Mind (film)>American Film Institute>James Cameron";"A Beautiful Mind (film)>American Film Institute>Steven Spielberg";"A Beautiful Mind (film)>Tom Cruise>Sam Mendes";"A Beautiful Mind (film)>Ron Howard>Steven Soderbergh";"A Beautiful Mind (film)>American Film Institute>Ron Howard";"A Beautiful Mind (film)>Ron Howard>Roman Polanski";"A Beautiful Mind (film)>Tom Cruise>Ang Lee";"A Beautiful Mind (film)>American Film Institute>Martin Scorsese";"A Beautiful Mind (film)>Ron Howard>Coen brothers";"A Beautiful Mind (film)>Tom Cruise>Danny Boyle";"A Beautiful Mind (film)>Tom Cruise>Kathryn Bigelow";"A Beautiful Mind (film)>Ron Howard>Michel Hazanavicius";"A Beautiful Mind (film)>Ron Howard>Alfonso Cuarón"
"The Pianist (2002 film)";"The Pianist (2002 film)>Roman Polanski>Robert Benton";"The Pianist (2002 film)>Roman Polanski>Robert Redford";"The Pianist (2002 film)>Roman Polanski>Warren Beatty";"The Pianist (2002 film)>Roman Polanski>Richard Attenborough";"The Pianist (2002 film)>Roman Polanski>James L. Brooks";"The Pianist (2002 film)>Roman Polanski>Miloš Forman";"The Pianist (2002 film)>Roman Polanski>Sydney Pollack";"The Pianist (2002 film)>Roman Polanski>Oliver Stone";"The Pianist (2002 film)>Roman Polanski>Bernardo Bertolucci";"The Pianist (2002 film)>Roman Polanski>Barry Levinson";"The Pianist (2002 film)>Roman Polanski>Kevin Costner";"The Pianist (2002 film)>Roman Polanski>Jonathan Demme";"The Pianist (2002 film)>Roman Polanski>Clint Eastwood";"The Pianist (2002 film)>Roman Polanski>Robert Zemeckis";"The Pianist (2002 film)>Roman Polanski>Mel Gibson";"The Pianist (2002 film)>Roman Polanski>Anthony Minghella";"The Pianist (2002 film)>Roman Polanski>James Cameron";"The Pianist (2002 film)>Roman Polanski>Steven Spielberg";"The Pianist (2002 film)>Roman Polanski>Sam Mendes";"The Pianist (2002 film)>Roman Polanski>Steven Soderbergh";"The Pianist (2002 film)>Roman Polanski>Ron Howard";"The Pianist (2002 film)>Warsaw>Roman Polanski";"The Pianist (2002 film)>Roman Polanski>Ang Lee";"The Pianist (2002 film)>Roman Polanski>Martin Scorsese";"The Pianist (2002 film)>Roman Polanski>Coen brothers";"The Pianist (2002 film)>Roman Polanski>Danny Boyle";"The Pianist (2002 film)>Roman Polanski>Kathryn Bigelow";"The Pianist (2002 film)>Roman Polanski>Michel Hazanavicius";"The Pianist (2002 film)>Roman Polanski>Alfonso Cuarón"
"Brokeback Mountain";"Brokeback Mountain>Academy Award for Best Adapted Screenplay>Robert Benton";"Brokeback Mountain>Roger Ebert>Robert Redford";"Brokeback Mountain>Kate Winslet>Warren Beatty";"Brokeback Mountain>Leonardo DiCaprio>Richard Attenborough";"Brokeback Mountain>American Film Institute>James L. Brooks";"Brokeback Mountain>American Film Institute>Miloš Forman";"Brokeback Mountain>American Film Institute>Sydney Pollack";"Brokeback Mountain>Academy Award for Best Picture>Oliver Stone";"Brokeback Mountain>Academy Award for Best Adapted Screenplay>Bernardo Bertolucci";"Brokeback Mountain>American Film Institute>Barry Levinson";"Brokeback Mountain>Kate Winslet>Kevin Costner";"Brokeback Mountain>Academy Award for Best Director>Jonathan Demme";"Brokeback Mountain>American Film Institute>Clint Eastwood";"Brokeback Mountain>American Film Institute>Robert Zemeckis";"Brokeback Mountain>Leonardo DiCaprio>Mel Gibson";"Brokeback Mountain>Kate Winslet>Anthony Minghella";"Brokeback Mountain>American Film Institute>James Cameron";"Brokeback Mountain>American Film Institute>Steven Spielberg";"Brokeback Mountain>Kate Winslet>Sam Mendes";"Brokeback Mountain>Kate Winslet>Steven Soderbergh";"Brokeback Mountain>American Film Institute>Ron Howard";"Brokeback Mountain>Kate Winslet>Roman Polanski";"Brokeback Mountain>Crouching Tiger, Hidden Dragon>Ang Lee";"Brokeback Mountain>American Film Institute>Martin Scorsese";"Brokeback Mountain>Academy Award for Best Picture>Coen brothers";"Brokeback Mountain>Kate Winslet>Danny Boyle";"Brokeback Mountain>Kate Winslet>Kathryn Bigelow";"Brokeback Mountain>Academy Award for Best Director>Michel Hazanavicius";"Brokeback Mountain>Crouching Tiger, Hidden Dragon>Alfonso Cuarón"
"The Departed";"The Departed>Martin Scorsese>Robert Benton";"The Departed>Howard Hawks>Robert Redford";"The Departed>Martin Scorsese>Warren Beatty";"The Departed>Martin Scorsese>Richard Attenborough";"The Departed>American Film Institute>James L. Brooks";"The Departed>American Film Institute>Miloš Forman";"The Departed>American Film Institute>Sydney Pollack";"The Departed>Martin Scorsese>Oliver Stone";"The Departed>Martin Scorsese>Bernardo Bertolucci";"The Departed>American Film Institute>Barry Levinson";"The Departed>Martin Scorsese>Kevin Costner";"The Departed>Martin Scorsese>Jonathan Demme";"The Departed>American Film Institute>Clint Eastwood";"The Departed>American Film Institute>Robert Zemeckis";"The Departed>Martin Scorsese>Mel Gibson";"The Departed>Martin Scorsese>Anthony Minghella";"The Departed>American Film Institute>James Cameron";"The Departed>American Film Institute>Steven Spielberg";"The Departed>Martin Scorsese>Sam Mendes";"The Departed>Martin Scorsese>Steven Soderbergh";"The Departed>American Film Institute>Ron Howard";"The Departed>Martin Scorsese>Roman Polanski";"The Departed>Martin Scorsese>Ang Lee";"The Departed>American Film Institute>Martin Scorsese";"The Departed>Martin Scorsese>Coen brothers";"The Departed>Martin Scorsese>Danny Boyle";"The Departed>Martin Scorsese>Kathryn Bigelow";"The Departed>Martin Scorsese>Michel Hazanavicius";"The Departed>Martin Scorsese>Alfonso Cuarón"
"No Country for Old Men (film)";"No Country for Old Men (film)>Coen brothers>Robert Benton";"No Country for Old Men (film)>Alfred Hitchcock>Robert Redford";"No Country for Old Men (film)>Alfred Hitchcock>Warren Beatty";"No Country for Old Men (film)>Alfred Hitchcock>Richard Attenborough";"No Country for Old Men (film)>Alfred Hitchcock>James L. Brooks";"No Country for Old Men (film)>American Film Institute>Miloš Forman";"No Country for Old Men (film)>Alfred Hitchcock>Sydney Pollack";"No Country for Old Men (film)>Coen brothers>Oliver Stone";"No Country for Old Men (film)>Coen brothers>Bernardo Bertolucci";"No Country for Old Men (film)>American Film Institute>Barry Levinson";"No Country for Old Men (film)>Coen brothers>Kevin Costner";"No Country for Old Men (film)>Alfred Hitchcock>Jonathan Demme";"No Country for Old Men (film)>Alfred Hitchcock>Clint Eastwood";"No Country for Old Men (film)>American Film Institute>Robert Zemeckis";"No Country for Old Men (film)>Coen brothers>Mel Gibson";"No Country for Old Men (film)>Coen brothers>Anthony Minghella";"No Country for Old Men (film)>American Film Institute>James Cameron";"No Country for Old Men (film)>Alfred Hitchcock>Steven Spielberg";"No Country for Old Men (film)>Coen brothers>Sam Mendes";"No Country for Old Men (film)>Alfred Hitchcock>Steven Soderbergh";"No Country for Old Men (film)>American Film Institute>Ron Howard";"No Country for Old Men (film)>Coen brothers>Roman Polanski";"No Country for Old Men (film)>Alfred Hitchcock>Ang Lee";"No Country for Old Men (film)>Alfred Hitchcock>Martin Scorsese";"No Country for Old Men (film)>Coen brothers";"No Country for Old Men (film)>Coen brothers>Danny Boyle";"No Country for Old Men (film)>Alfred Hitchcock>Kathryn Bigelow";"No Country for Old Men (film)>Alfred Hitchcock>Michel Hazanavicius";"No Country for Old Men (film)>Coen brothers>Alfonso Cuarón"
"Slumdog Millionaire";"Slumdog Millionaire>Academy Award for Best Adapted Screenplay>Robert Benton";"Slumdog Millionaire>Warner Bros.>Robert Redford";"Slumdog Millionaire>Academy Award for Best Picture>Warren Beatty";"Slumdog Millionaire>Cinema of the United Kingdom>Richard Attenborough";"Slumdog Millionaire>Academy Award for Best Picture>James L. Brooks";"Slumdog Millionaire>Academy Award for Best Director>Miloš Forman";"Slumdog Millionaire>Academy Award for Best Picture>Sydney Pollack";"Slumdog Millionaire>Academy Award for Best Picture>Oliver Stone";"Slumdog Millionaire>Academy Award for Best Adapted Screenplay>Bernardo Bertolucci";"Slumdog Millionaire>Academy Award for Best Picture>Barry Levinson";"Slumdog Millionaire>Academy Award for Best Picture>Kevin Costner";"Slumdog Millionaire>Academy Award for Best Director>Jonathan Demme";"Slumdog Millionaire>Cinema of the United Kingdom>Clint Eastwood";"Slumdog Millionaire>Forrest Gump>Robert Zemeckis";"Slumdog Millionaire>Academy Award for Best Picture>Mel Gibson";"Slumdog Millionaire>Academy Award for Best Picture>Anthony Minghella";"Slumdog Millionaire>Academy Award for Best Picture>James Cameron";"Slumdog Millionaire>Roger Ebert>Steven Spielberg";"Slumdog Millionaire>Academy Award for Best Director>Sam Mendes";"Slumdog Millionaire>Academy Award for Best Director>Steven Soderbergh";"Slumdog Millionaire>Academy Award for Best Picture>Ron Howard";"Slumdog Millionaire>Cinema of the United Kingdom>Roman Polanski";"Slumdog Millionaire>Academy Award for Best Picture>Ang Lee";"Slumdog Millionaire>Roger Ebert>Martin Scorsese";"Slumdog Millionaire>Academy Award for Best Picture>Coen brothers";"Slumdog Millionaire>Bollywood>Danny Boyle";"Slumdog Millionaire>Academy Award for Best Picture>Kathryn Bigelow";"Slumdog Millionaire>Academy Award for Best Director>Michel Hazanavicius";"Slumdog Millionaire>Cinema of the United Kingdom>Alfonso Cuarón"
"The Hurt Locker";"The Hurt Locker>Academy Award for Best Director>Robert Benton";"The Hurt Locker>Warner Bros.>Robert Redford";"The Hurt Locker>Academy Award for Best Picture>Warren Beatty";"The Hurt Locker>War film>Richard Attenborough";"The Hurt Locker>American Film Institute>James L. Brooks";"The Hurt Locker>American Film Institute>Miloš Forman";"The Hurt Locker>American Film Institute>Sydney Pollack";"The Hurt Locker>Vietnam War>Oliver Stone";"The Hurt Locker>Academy Award for Best Director>Bernardo Bertolucci";"The Hurt Locker>American Film Institute>Barry Levinson";"The Hurt Locker>Academy Award for Best Picture>Kevin Costner";"The Hurt Locker>Academy Award for Best Director>Jonathan Demme";"The Hurt Locker>American Film Institute>Clint Eastwood";"The Hurt Locker>American Film Institute>Robert Zemeckis";"The Hurt Locker>Academy Award for Best Picture>Mel Gibson";"The Hurt Locker>Academy Award for Best Picture>Anthony Minghella";"The Hurt Locker>American Film Institute>James Cameron";"The Hurt Locker>American Film Institute>Steven Spielberg";"The Hurt Locker>Academy Award for Best Director>Sam Mendes";"The Hurt Locker>Academy Award for Best Director>Steven Soderbergh";"The Hurt Locker>American Film Institute>Ron Howard";"The Hurt Locker>Academy of Motion Picture Arts and Sciences>Roman Polanski";"The Hurt Locker>Academy Award for Best Picture>Ang Lee";"The Hurt Locker>American Film Institute>Martin Scorsese";"The Hurt Locker>Academy Award for Best Picture>Coen brothers";"The Hurt Locker>Academy Award for Best Picture>Danny Boyle";"The Hurt Locker>Academy Award for Best Picture>Kathryn Bigelow";"The Hurt Locker>Academy Award for Best Director>Michel Hazanavicius";"The Hurt Locker>Venice Film Festival>Alfonso Cuarón"
"The Artist (film)";"The Artist (film)>Billy Wilder>Robert Benton";"The Artist (film)>Alfred Hitchcock>Robert Redford";"The Artist (film)>Alfred Hitchcock>Warren Beatty";"The Artist (film)>Alfred Hitchcock>Richard Attenborough";"The Artist (film)>Alfred Hitchcock>James L. Brooks";"The Artist (film)>Fritz Lang>Miloš Forman";"The Artist (film)>Alfred Hitchcock>Sydney Pollack";"The Artist (film)>Billy Wilder>Oliver Stone";"The Artist (film)>Fritz Lang>Bernardo Bertolucci";"The Artist (film)>Billy Wilder>Barry Levinson";"The Artist (film)>Billy Wilder>Kevin Costner";"The Artist (film)>Alfred Hitchcock>Jonathan Demme";"The Artist (film)>Alfred Hitchcock>Clint Eastwood";"The Artist (film)>Billy Wilder>Robert Zemeckis";"The Artist (film)>Billy Wilder>Mel Gibson";"The Artist (film)>Billy Wilder>Anthony Minghella";"The Artist (film)>Billy Wilder>James Cameron";"The Artist (film)>Alfred Hitchcock>Steven Spielberg";"The Artist (film)>The Apartment>Sam Mendes";"The Artist (film)>Alfred Hitchcock>Steven Soderbergh";"The Artist (film)>Billy Wilder>Ron Howard";"The Artist (film)>Fritz Lang>Roman Polanski";"The Artist (film)>Alfred Hitchcock>Ang Lee";"The Artist (film)>Alfred Hitchcock>Martin Scorsese";"The Artist (film)>Alfred Hitchcock>Coen brothers";"The Artist (film)>Musical film>Danny Boyle";"The Artist (film)>Alfred Hitchcock>Kathryn Bigelow";"The Artist (film)>Alfred Hitchcock>Michel Hazanavicius";"The Artist (film)>Billy Wilder>Alfonso Cuarón"
"Gravity (2013 film)";"Gravity (2013 film)>Alfonso Cuarón>Robert Benton";"Gravity (2013 film)>Alfonso Cuarón>Robert Redford";"Gravity (2013 film)>Alfonso Cuarón>Warren Beatty";"Gravity (2013 film)>Alfonso Cuarón>Richard Attenborough";"Gravity (2013 film)>American Film Institute>James L. Brooks";"Gravity (2013 film)>American Film Institute>Miloš Forman";"Gravity (2013 film)>American Film Institute>Sydney Pollack";"Gravity (2013 film)>Alfonso Cuarón>Oliver Stone";"Gravity (2013 film)>Alfonso Cuarón>Bernardo Bertolucci";"Gravity (2013 film)>American Film Institute>Barry Levinson";"Gravity (2013 film)>Alfonso Cuarón>Kevin Costner";"Gravity (2013 film)>Alfonso Cuarón>Jonathan Demme";"Gravity (2013 film)>American Film Institute>Clint Eastwood";"Gravity (2013 film)>American Film Institute>Robert Zemeckis";"Gravity (2013 film)>Alfonso Cuarón>Mel Gibson";"Gravity (2013 film)>Alfonso Cuarón>Anthony Minghella";"Gravity (2013 film)>American Film Institute>James Cameron";"Gravity (2013 film)>American Film Institute>Steven Spielberg";"Gravity (2013 film)>Alfonso Cuarón>Sam Mendes";"Gravity (2013 film)>Alfonso Cuarón>Steven Soderbergh";"Gravity (2013 film)>American Film Institute>Ron Howard";"Gravity (2013 film)>Alfonso Cuarón>Roman Polanski";"Gravity (2013 film)>Alfonso Cuarón>Ang Lee";"Gravity (2013 film)>American Film Institute>Martin Scorsese";"Gravity (2013 film)>Alfonso Cuarón>Coen brothers";"Gravity (2013 film)>Alfonso Cuarón>Danny Boyle";"Gravity (2013 film)>Alfonso Cuarón>Kathryn Bigelow";"Gravity (2013 film)>Alfonso Cuarón>Michel Hazanavicius";"Gravity (2013 film)>James Cameron>Alfonso Cuarón"
